image_id,record_index,casia_identity,class_index,image_path,quality_condition,source_image_id,blur_parameter
243,244,1,0,data\splits\pilot_100id\images\1\244.png,high,243,original
243_low,244,1,0,data\corrupted\blur_15x15_s5\images\1\244.png,low,243,15x15_s5
21,22,1,0,data\splits\pilot_100id\images\1\22.png,high,21,original
21_low,22,1,0,data\corrupted\blur_15x15_s5\images\1\22.png,low,21,15x15_s5
94,95,1,0,data\splits\pilot_100id\images\1\95.png,high,94,original
94_low,95,1,0,data\corrupted\blur_15x15_s5\images\1\95.png,low,94,15x15_s5
221,222,1,0,data\splits\pilot_100id\images\1\222.png,high,221,original
221_low,222,1,0,data\corrupted\blur_15x15_s5\images\1\222.png,low,221,15x15_s5
132,133,1,0,data\splits\pilot_100id\images\1\133.png,high,132,original
132_low,133,1,0,data\corrupted\blur_15x15_s5\images\1\133.png,low,132,15x15_s5
200,201,1,0,data\splits\pilot_100id\images\1\201.png,high,200,original
200_low,201,1,0,data\corrupted\blur_15x15_s5\images\1\201.png,low,200,15x15_s5
257,258,1,0,data\splits\pilot_100id\images\1\258.png,high,257,original
257_low,258,1,0,data\corrupted\blur_15x15_s5\images\1\258.png,low,257,15x15_s5
182,183,1,0,data\splits\pilot_100id\images\1\183.png,high,182,original
182_low,183,1,0,data\corrupted\blur_15x15_s5\images\1\183.png,low,182,15x15_s5
24,25,1,0,data\splits\pilot_100id\images\1\25.png,high,24,original
24_low,25,1,0,data\corrupted\blur_15x15_s5\images\1\25.png,low,24,15x15_s5
45,46,1,0,data\splits\pilot_100id\images\1\46.png,high,45,original
45_low,46,1,0,data\corrupted\blur_15x15_s5\images\1\46.png,low,45,15x15_s5
195,196,1,0,data\splits\pilot_100id\images\1\196.png,high,195,original
195_low,196,1,0,data\corrupted\blur_15x15_s5\images\1\196.png,low,195,15x15_s5
237,238,1,0,data\splits\pilot_100id\images\1\238.png,high,237,original
237_low,238,1,0,data\corrupted\blur_15x15_s5\images\1\238.png,low,237,15x15_s5
245,246,1,0,data\splits\pilot_100id\images\1\246.png,high,245,original
245_low,246,1,0,data\corrupted\blur_15x15_s5\images\1\246.png,low,245,15x15_s5
232,233,1,0,data\splits\pilot_100id\images\1\233.png,high,232,original
232_low,233,1,0,data\corrupted\blur_15x15_s5\images\1\233.png,low,232,15x15_s5
151,152,1,0,data\splits\pilot_100id\images\1\152.png,high,151,original
151_low,152,1,0,data\corrupted\blur_15x15_s5\images\1\152.png,low,151,15x15_s5
83,84,1,0,data\splits\pilot_100id\images\1\84.png,high,83,original
83_low,84,1,0,data\corrupted\blur_15x15_s5\images\1\84.png,low,83,15x15_s5
214,215,1,0,data\splits\pilot_100id\images\1\215.png,high,214,original
214_low,215,1,0,data\corrupted\blur_15x15_s5\images\1\215.png,low,214,15x15_s5
30,31,1,0,data\splits\pilot_100id\images\1\31.png,high,30,original
30_low,31,1,0,data\corrupted\blur_15x15_s5\images\1\31.png,low,30,15x15_s5
111,112,1,0,data\splits\pilot_100id\images\1\112.png,high,111,original
111_low,112,1,0,data\corrupted\blur_15x15_s5\images\1\112.png,low,111,15x15_s5
39,40,1,0,data\splits\pilot_100id\images\1\40.png,high,39,original
39_low,40,1,0,data\corrupted\blur_15x15_s5\images\1\40.png,low,39,15x15_s5
250,251,1,0,data\splits\pilot_100id\images\1\251.png,high,250,original
250_low,251,1,0,data\corrupted\blur_15x15_s5\images\1\251.png,low,250,15x15_s5
34,35,1,0,data\splits\pilot_100id\images\1\35.png,high,34,original
34_low,35,1,0,data\corrupted\blur_15x15_s5\images\1\35.png,low,34,15x15_s5
135,136,1,0,data\splits\pilot_100id\images\1\136.png,high,135,original
135_low,136,1,0,data\corrupted\blur_15x15_s5\images\1\136.png,low,135,15x15_s5
167,168,1,0,data\splits\pilot_100id\images\1\168.png,high,167,original
167_low,168,1,0,data\corrupted\blur_15x15_s5\images\1\168.png,low,167,15x15_s5
48,49,1,0,data\splits\pilot_100id\images\1\49.png,high,48,original
48_low,49,1,0,data\corrupted\blur_15x15_s5\images\1\49.png,low,48,15x15_s5
293,294,2,1,data\splits\pilot_100id\images\2\294.png,high,293,original
293_low,294,2,1,data\corrupted\blur_15x15_s5\images\2\294.png,low,293,15x15_s5
271,272,2,1,data\splits\pilot_100id\images\2\272.png,high,271,original
271_low,272,2,1,data\corrupted\blur_15x15_s5\images\2\272.png,low,271,15x15_s5
318,319,2,1,data\splits\pilot_100id\images\2\319.png,high,318,original
318_low,319,2,1,data\corrupted\blur_15x15_s5\images\2\319.png,low,318,15x15_s5
275,276,2,1,data\splits\pilot_100id\images\2\276.png,high,275,original
275_low,276,2,1,data\corrupted\blur_15x15_s5\images\2\276.png,low,275,15x15_s5
324,325,2,1,data\splits\pilot_100id\images\2\325.png,high,324,original
324_low,325,2,1,data\corrupted\blur_15x15_s5\images\2\325.png,low,324,15x15_s5
289,290,2,1,data\splits\pilot_100id\images\2\290.png,high,289,original
