image_id,record_index,casia_identity,class_index,image_path,quality_condition,source_image_id,blur_parameter,assigned_class_index,noise_status,noise_seed
243,244,1,0,data\splits\pilot_100id\images\1\244.png,high,243,original,0,clean,42
21,22,1,0,data\splits\pilot_100id\images\1\22.png,high,21,original,0,clean,42
94,95,1,0,data\splits\pilot_100id\images\1\95.png,high,94,original,0,clean,42
221,222,1,0,data\splits\pilot_100id\images\1\222.png,high,221,original,0,clean,42
132,133,1,0,data\splits\pilot_100id\images\1\133.png,high,132,original,0,clean,42
200,201,1,0,data\splits\pilot_100id\images\1\201.png,high,200,original,0,clean,42
257,258,1,0,data\splits\pilot_100id\images\1\258.png,high,257,original,0,clean,42
182,183,1,0,data\splits\pilot_100id\images\1\183.png,high,182,original,0,clean,42
24,25,1,0,data\splits\pilot_100id\images\1\25.png,high,24,original,0,clean,42
45,46,1,0,data\splits\pilot_100id\images\1\46.png,high,45,original,0,clean,42
195,196,1,0,data\splits\pilot_100id\images\1\196.png,high,195,original,0,clean,42
237,238,1,0,data\splits\pilot_100id\images\1\238.png,high,237,original,0,clean,42
245,246,1,0,data\splits\pilot_100id\images\1\246.png,high,245,original,0,clean,42
232,233,1,0,data\splits\pilot_100id\images\1\233.png,high,232,original,0,clean,42
151,152,1,0,data\splits\pilot_100id\images\1\152.png,high,151,original,0,clean,42
83,84,1,0,data\splits\pilot_100id\images\1\84.png,high,83,original,0,clean,42
214,215,1,0,data\splits\pilot_100id\images\1\215.png,high,214,original,0,clean,42
30,31,1,0,data\splits\pilot_100id\images\1\31.png,high,30,original,0,clean,42
111,112,1,0,data\splits\pilot_100id\images\1\112.png,high,111,original,0,clean,42
39,40,1,0,data\splits\pilot_100id\images\1\40.png,high,39,original,0,clean,42
250,251,1,0,data\splits\pilot_100id\images\1\251.png,high,250,original,0,clean,42
34,35,1,0,data\splits\pilot_100id\images\1\35.png,high,34,original,0,clean,42
135,136,1,0,data\splits\pilot_100id\images\1\136.png,high,135,original,0,clean,42
167,168,1,0,data\splits\pilot_100id\images\1\168.png,high,167,original,0,clean,42
48,49,1,0,data\splits\pilot_100id\images\1\49.png,high,48,original,0,clean,42
293,294,2,1,data\splits\pilot_100id\images\2\294.png,high,293,original,1,clean,42
