image_id,record_index,casia_identity,class_index,assigned_class_index,noise_status,noise_seed
243,244,1,0,78,noisy,42
21,22,1,0,0,clean,42
94,95,1,0,0,clean,42
221,222,1,0,0,clean,42
132,133,1,0,0,clean,42
200,201,1,0,0,clean,42
257,258,1,0,0,clean,42
182,183,1,0,0,clean,42
24,25,1,0,24,noisy,42
45,46,1,0,0,clean,42
195,196,1,0,0,clean,42
237,238,1,0,75,noisy,42
245,246,1,0,0,clean,42
232,233,1,0,0,clean,42
151,152,1,0,0,clean,42
83,84,1,0,0,clean,42
214,215,1,0,73,noisy,42
30,31,1,0,0,clean,42
111,112,1,0,0,clean,42
39,40,1,0,0,clean,42
250,251,1,0,0,clean,42
34,35,1,0,0,clean,42
135,136,1,0,0,clean,42
167,168,1,0,69,noisy,42
48,49,1,0,0,clean,42
293,294,2,1,1,clean,42
271,272,2,1,1,clean,42
318,319,2,1,1,clean,42
275,276,2,1,1,clean,42
324,325,2,1,1,clean,42
289,290,2,1,34,noisy,42
281,282,2,1,1,clean,42
304,305,2,1,59,noisy,42
315,316,2,1,1,clean,42
283,284,2,1,1,clean,42
302,303,2,1,29,noisy,42
280,281,2,1,1,clean,42
330,331,2,1,1,clean,42
276,277,2,1,28,noisy,42
339,340,2,1,1,clean,42
301,302,2,1,1,clean,42
328,329,2,1,1,clean,42
306,307,2,1,49,noisy,42
327,328,2,1,1,clean,42
317,318,2,1,1,clean,42
287,288,2,1,1,clean,42
305,306,2,1,1,clean,42
313,314,2,1,1,clean,42
299,300,2,1,1,clean,42
278,279,2,1,1,clean,42
410,411,3,2,2,clean,42
558,559,3,2,2,clean,42
724,725,3,2,2,clean,42
373,374,3,2,2,clean,42
382,383,3,2,37,noisy,42
417,418,3,2,2,clean,42
477,478,3,2,2,clean,42
671,672,3,2,2,clean,42
705,706,3,2,2,clean,42
605,606,3,2,27,noisy,42
704,705,3,2,2,clean,42
418,419,3,2,2,clean,42
623,624,3,2,2,clean,42
726,727,3,2,2,clean,42
495,496,3,2,2,clean,42
595,596,3,2,64,noisy,42
517,518,3,2,29,noisy,42
691,692,3,2,2,clean,42
349,350,3,2,2,clean,42
535,536,3,2,2,clean,42
395,396,3,2,2,clean,42
739,740,3,2,2,clean,42
593,594,3,2,2,clean,42
572,573,3,2,2,clean,42
702,703,3,2,71,noisy,42
748,749,4,3,3,clean,42
807,808,4,3,3,clean,42
762,763,4,3,41,noisy,42
744,745,4,3,3,clean,42
772,773,4,3,3,clean,42
817,818,4,3,23,noisy,42
754,755,4,3,3,clean,42
778,779,4,3,3,clean,42
756,757,4,3,3,clean,42
799,800,4,3,3,clean,42
809,810,4,3,3,clean,42
775,776,4,3,3,clean,42
753,754,4,3,68,noisy,42
789,790,4,3,3,clean,42
749,750,4,3,3,clean,42
766,767,4,3,3,clean,42
801,802,4,3,3,clean,42
794,795,4,3,3,clean,42
777,778,4,3,3,clean,42
783,784,4,3,3,clean,42
814,815,4,3,81,noisy,42
760,761,4,3,3,clean,42
779,780,4,3,3,clean,42
788,789,4,3,3,clean,42
805,806,4,3,51,noisy,42
948,949,6,4,4,clean,42
947,948,6,4,4,clean,42
855,856,6,4,4,clean,42
869,870,6,4,4,clean,42
966,967,6,4,4,clean,42
909,910,6,4,80,noisy,42
907,908,6,4,4,clean,42
958,959,6,4,4,clean,42
976,977,6,4,4,clean,42
928,929,6,4,2,noisy,42
927,928,6,4,4,clean,42
888,889,6,4,4,clean,42
912,913,6,4,4,clean,42
910,911,6,4,12,noisy,42
874,875,6,4,4,clean,42
885,886,6,4,4,clean,42
870,871,6,4,4,clean,42
862,863,6,4,4,clean,42
975,976,6,4,24,noisy,42
899,900,6,4,4,clean,42
968,969,6,4,52,noisy,42
847,848,6,4,4,clean,42
952,953,6,4,4,clean,42
879,880,6,4,4,clean,42
932,933,6,4,4,clean,42
1039,1040,8,5,5,clean,42
1012,1013,8,5,80,noisy,42
1187,1188,8,5,5,clean,42
1092,1093,8,5,11,noisy,42
1161,1162,8,5,5,clean,42
1184,1185,8,5,5,clean,42
1200,1201,8,5,5,clean,42
1110,1111,8,5,5,clean,42
1015,1016,8,5,5,clean,42
1240,1241,8,5,5,clean,42
1237,1238,8,5,20,noisy,42
1219,1220,8,5,5,clean,42
1243,1244,8,5,5,clean,42
1179,1180,8,5,5,clean,42
1072,1073,8,5,5,clean,42
1228,1229,8,5,5,clean,42
1225,1226,8,5,5,clean,42
1021,1022,8,5,5,clean,42
1188,1189,8,5,36,noisy,42
1030,1031,8,5,78,noisy,42
1126,1127,8,5,5,clean,42
1025,1026,8,5,5,clean,42
1118,1119,8,5,5,clean,42
1073,1074,8,5,5,clean,42
1227,1228,8,5,5,clean,42
1358,1359,9,6,14,noisy,42
1361,1362,9,6,6,clean,42
1394,1395,9,6,6,clean,42
1308,1309,9,6,6,clean,42
1347,1348,9,6,6,clean,42
1282,1283,9,6,6,clean,42
1354,1355,9,6,6,clean,42
1304,1305,9,6,11,noisy,42
1353,1354,9,6,13,noisy,42
1395,1396,9,6,6,clean,42
1272,1273,9,6,6,clean,42
1337,1338,9,6,6,clean,42
1268,1269,9,6,6,clean,42
1319,1320,9,6,6,clean,42
1277,1278,9,6,6,clean,42
1283,1284,9,6,6,clean,42
1381,1382,9,6,6,clean,42
1400,1401,9,6,73,noisy,42
1351,1352,9,6,6,clean,42
1269,1270,9,6,6,clean,42
1328,1329,9,6,6,clean,42
1271,1272,9,6,6,clean,42
1265,1266,9,6,6,clean,42
1262,1263,9,6,6,clean,42
1284,1285,9,6,48,noisy,42
1496,1497,10,7,7,clean,42
1466,1467,10,7,7,clean,42
