image_id,record_index,casia_identity,class_index,image_path,quality_condition,source_image_id,blur_parameter,assigned_class_index,noise_status,noise_seed
243_low,244,1,0,data\corrupted\blur_15x15_s5\images\1\244.png,low,243,15x15_s5,78,noisy,42
21_low,22,1,0,data\corrupted\blur_15x15_s5\images\1\22.png,low,21,15x15_s5,0,clean,42
94_low,95,1,0,data\corrupted\blur_15x15_s5\images\1\95.png,low,94,15x15_s5,0,clean,42
221_low,222,1,0,data\corrupted\blur_15x15_s5\images\1\222.png,low,221,15x15_s5,0,clean,42
132_low,133,1,0,data\corrupted\blur_15x15_s5\images\1\133.png,low,132,15x15_s5,0,clean,42
200_low,201,1,0,data\corrupted\blur_15x15_s5\images\1\201.png,low,200,15x15_s5,0,clean,42
257_low,258,1,0,data\corrupted\blur_15x15_s5\images\1\258.png,low,257,15x15_s5,0,clean,42
182_low,183,1,0,data\corrupted\blur_15x15_s5\images\1\183.png,low,182,15x15_s5,0,clean,42
24_low,25,1,0,data\corrupted\blur_15x15_s5\images\1\25.png,low,24,15x15_s5,24,noisy,42
45_low,46,1,0,data\corrupted\blur_15x15_s5\images\1\46.png,low,45,15x15_s5,0,clean,42
195_low,196,1,0,data\corrupted\blur_15x15_s5\images\1\196.png,low,195,15x15_s5,0,clean,42
237_low,238,1,0,data\corrupted\blur_15x15_s5\images\1\238.png,low,237,15x15_s5,75,noisy,42
245_low,246,1,0,data\corrupted\blur_15x15_s5\images\1\246.png,low,245,15x15_s5,0,clean,42
232_low,233,1,0,data\corrupted\blur_15x15_s5\images\1\233.png,low,232,15x15_s5,0,clean,42
151_low,152,1,0,data\corrupted\blur_15x15_s5\images\1\152.png,low,151,15x15_s5,0,clean,42
83_low,84,1,0,data\corrupted\blur_15x15_s5\images\1\84.png,low,83,15x15_s5,0,clean,42
214_low,215,1,0,data\corrupted\blur_15x15_s5\images\1\215.png,low,214,15x15_s5,73,noisy,42
30_low,31,1,0,data\corrupted\blur_15x15_s5\images\1\31.png,low,30,15x15_s5,0,clean,42
111_low,112,1,0,data\corrupted\blur_15x15_s5\images\1\112.png,low,111,15x15_s5,0,clean,42
39_low,40,1,0,data\corrupted\blur_15x15_s5\images\1\40.png,low,39,15x15_s5,0,clean,42
250_low,251,1,0,data\corrupted\blur_15x15_s5\images\1\251.png,low,250,15x15_s5,0,clean,42
34_low,35,1,0,data\corrupted\blur_15x15_s5\images\1\35.png,low,34,15x15_s5,0,clean,42
135_low,136,1,0,data\corrupted\blur_15x15_s5\images\1\136.png,low,135,15x15_s5,0,clean,42
167_low,168,1,0,data\corrupted\blur_15x15_s5\images\1\168.png,low,167,15x15_s5,69,noisy,42
48_low,49,1,0,data\corrupted\blur_15x15_s5\images\1\49.png,low,48,15x15_s5,0,clean,42
293_low,294,2,1,data\corrupted\blur_15x15_s5\images\2\294.png,low,293,15x15_s5,1,clean,42
271_low,272,2,1,data\corrupted\blur_15x15_s5\images\2\272.png,low,271,15x15_s5,1,clean,42
318_low,319,2,1,data\corrupted\blur_15x15_s5\images\2\319.png,low,318,15x15_s5,1,clean,42
275_low,276,2,1,data\corrupted\blur_15x15_s5\images\2\276.png,low,275,15x15_s5,1,clean,42
324_low,325,2,1,data\corrupted\blur_15x15_s5\images\2\325.png,low,324,15x15_s5,1,clean,42
289_low,290,2,1,data\corrupted\blur_15x15_s5\images\2\290.png,low,289,15x15_s5,34,noisy,42
281_low,282,2,1,data\corrupted\blur_15x15_s5\images\2\282.png,low,281,15x15_s5,1,clean,42
304_low,305,2,1,data\corrupted\blur_15x15_s5\images\2\305.png,low,304,15x15_s5,59,noisy,42
315_low,316,2,1,data\corrupted\blur_15x15_s5\images\2\316.png,low,315,15x15_s5,1,clean,42
283_low,284,2,1,data\corrupted\blur_15x15_s5\images\2\284.png,low,283,15x15_s5,1,clean,42
302_low,303,2,1,data\corrupted\blur_15x15_s5\images\2\303.png,low,302,15x15_s5,29,noisy,42
280_low,281,2,1,data\corrupted\blur_15x15_s5\images\2\281.png,low,280,15x15_s5,1,clean,42
330_low,331,2,1,data\corrupted\blur_15x15_s5\images\2\331.png,low,330,15x15_s5,1,clean,42
276_low,277,2,1,data\corrupted\blur_15x15_s5\images\2\277.png,low,276,15x15_s5,28,noisy,42
339_low,340,2,1,data\corrupted\blur_15x15_s5\images\2\340.png,low,339,15x15_s5,1,clean,42
301_low,302,2,1,data\corrupted\blur_15x15_s5\images\2\302.png,low,301,15x15_s5,1,clean,42
328_low,329,2,1,data\corrupted\blur_15x15_s5\images\2\329.png,low,328,15x15_s5,1,clean,42
306_low,307,2,1,data\corrupted\blur_15x15_s5\images\2\307.png,low,306,15x15_s5,49,noisy,42
327_low,328,2,1,data\corrupted\blur_15x15_s5\images\2\328.png,low,327,15x15_s5,1,clean,42
317_low,318,2,1,data\corrupted\blur_15x15_s5\images\2\318.png,low,317,15x15_s5,1,clean,42
287_low,288,2,1,data\corrupted\blur_15x15_s5\images\2\288.png,low,287,15x15_s5,1,clean,42
305_low,306,2,1,data\corrupted\blur_15x15_s5\images\2\306.png,low,305,15x15_s5,1,clean,42
313_low,314,2,1,data\corrupted\blur_15x15_s5\images\2\314.png,low,313,15x15_s5,1,clean,42
299_low,300,2,1,data\corrupted\blur_15x15_s5\images\2\300.png,low,299,15x15_s5,1,clean,42
278_low,279,2,1,data\corrupted\blur_15x15_s5\images\2\279.png,low,278,15x15_s5,1,clean,42
410_low,411,3,2,data\corrupted\blur_15x15_s5\images\3\411.png,low,410,15x15_s5,2,clean,42
558_low,559,3,2,data\corrupted\blur_15x15_s5\images\3\559.png,low,558,15x15_s5,2,clean,42
724_low,725,3,2,data\corrupted\blur_15x15_s5\images\3\725.png,low,724,15x15_s5,2,clean,42
373_low,374,3,2,data\corrupted\blur_15x15_s5\images\3\374.png,low,373,15x15_s5,2,clean,42
382_low,383,3,2,data\corrupted\blur_15x15_s5\images\3\383.png,low,382,15x15_s5,37,noisy,42
417_low,418,3,2,data\corrupted\blur_15x15_s5\images\3\418.png,low,417,15x15_s5,2,clean,42
477_low,478,3,2,data\corrupted\blur_15x15_s5\images\3\478.png,low,477,15x15_s5,2,clean,42
671_low,672,3,2,data\corrupted\blur_15x15_s5\images\3\672.png,low,671,15x15_s5,2,clean,42
705_low,706,3,2,data\corrupted\blur_15x15_s5\images\3\706.png,low,705,15x15_s5,2,clean,42
605_low,606,3,2,data\corrupted\blur_15x15_s5\images\3\606.png,low,605,15x15_s5,27,noisy,42
704_low,705,3,2,data\corrupted\blur_15x15_s5\images\3\705.png,low,704,15x15_s5,2,clean,42
418_low,419,3,2,data\corrupted\blur_15x15_s5\images\3\419.png,low,418,15x15_s5,2,clean,42
623_low,624,3,2,data\corrupted\blur_15x15_s5\images\3\624.png,low,623,15x15_s5,2,clean,42
726_low,727,3,2,data\corrupted\blur_15x15_s5\images\3\727.png,low,726,15x15_s5,2,clean,42
495_low,496,3,2,data\corrupted\blur_15x15_s5\images\3\496.png,low,495,15x15_s5,2,clean,42
595_low,596,3,2,data\corrupted\blur_15x15_s5\images\3\596.png,low,595,15x15_s5,64,noisy,42
517_low,518,3,2,data\corrupted\blur_15x15_s5\images\3\518.png,low,517,15x15_s5,29,noisy,42
691_low,692,3,2,data\corrupted\blur_15x15_s5\images\3\692.png,low,691,15x15_s5,2,clean,42
349_low,350,3,2,data\corrupted\blur_15x15_s5\images\3\350.png,low,349,15x15_s5,2,clean,42
535_low,536,3,2,data\corrupted\blur_15x15_s5\images\3\536.png,low,535,15x15_s5,2,clean,42
395_low,396,3,2,data\corrupted\blur_15x15_s5\images\3\396.png,low,395,15x15_s5,2,clean,42
739_low,740,3,2,data\corrupted\blur_15x15_s5\images\3\740.png,low,739,15x15_s5,2,clean,42
593_low,594,3,2,data\corrupted\blur_15x15_s5\images\3\594.png,low,593,15x15_s5,2,clean,42
572_low,573,3,2,data\corrupted\blur_15x15_s5\images\3\573.png,low,572,15x15_s5,2,clean,42
702_low,703,3,2,data\corrupted\blur_15x15_s5\images\3\703.png,low,702,15x15_s5,71,noisy,42
748_low,749,4,3,data\corrupted\blur_15x15_s5\images\4\749.png,low,748,15x15_s5,3,clean,42
807_low,808,4,3,data\corrupted\blur_15x15_s5\images\4\808.png,low,807,15x15_s5,3,clean,42
762_low,763,4,3,data\corrupted\blur_15x15_s5\images\4\763.png,low,762,15x15_s5,41,noisy,42
744_low,745,4,3,data\corrupted\blur_15x15_s5\images\4\745.png,low,744,15x15_s5,3,clean,42
772_low,773,4,3,data\corrupted\blur_15x15_s5\images\4\773.png,low,772,15x15_s5,3,clean,42
817_low,818,4,3,data\corrupted\blur_15x15_s5\images\4\818.png,low,817,15x15_s5,23,noisy,42
754_low,755,4,3,data\corrupted\blur_15x15_s5\images\4\755.png,low,754,15x15_s5,3,clean,42
778_low,779,4,3,data\corrupted\blur_15x15_s5\images\4\779.png,low,778,15x15_s5,3,clean,42
756_low,757,4,3,data\corrupted\blur_15x15_s5\images\4\757.png,low,756,15x15_s5,3,clean,42
799_low,800,4,3,data\corrupted\blur_15x15_s5\images\4\800.png,low,799,15x15_s5,3,clean,42
809_low,810,4,3,data\corrupted\blur_15x15_s5\images\4\810.png,low,809,15x15_s5,3,clean,42
775_low,776,4,3,data\corrupted\blur_15x15_s5\images\4\776.png,low,775,15x15_s5,3,clean,42
753_low,754,4,3,data\corrupted\blur_15x15_s5\images\4\754.png,low,753,15x15_s5,68,noisy,42
789_low,790,4,3,data\corrupted\blur_15x15_s5\images\4\790.png,low,789,15x15_s5,3,clean,42
749_low,750,4,3,data\corrupted\blur_15x15_s5\images\4\750.png,low,749,15x15_s5,3,clean,42
