image_id,source_record_id,true_identity,image_path,low_quality_path,assigned_identity,quality_condition,noise_level,is_noisy
T000000,68614,819,data/splits/100k/images/train/T000000.png,data/corrupted/100k_blur_15x15_s5/train/T000000.png,819,HIGH,0%,0
T000001,68716,819,data/splits/100k/images/train/T000001.png,data/corrupted/100k_blur_15x15_s5/train/T000001.png,819,HIGH,0%,0
T000002,68590,819,data/splits/100k/images/train/T000002.png,data/corrupted/100k_blur_15x15_s5/train/T000002.png,819,HIGH,0%,0
T000003,68943,819,data/splits/100k/images/train/T000003.png,data/corrupted/100k_blur_15x15_s5/train/T000003.png,819,HIGH,0%,0
T000004,68957,819,data/splits/100k/images/train/T000004.png,data/corrupted/100k_blur_15x15_s5/train/T000004.png,819,HIGH,0%,0
T000005,69210,819,data/splits/100k/images/train/T000005.png,data/corrupted/100k_blur_15x15_s5/train/T000005.png,819,HIGH,0%,0
T000006,69013,819,data/splits/100k/images/train/T000006.png,data/corrupted/100k_blur_15x15_s5/train/T000006.png,819,HIGH,0%,0
T000007,68745,819,data/splits/100k/images/train/T000007.png,data/corrupted/100k_blur_15x15_s5/train/T000007.png,819,HIGH,0%,0
T000008,68640,819,data/splits/100k/images/train/T000008.png,data/corrupted/100k_blur_15x15_s5/train/T000008.png,819,HIGH,0%,0
T000009,68827,819,data/splits/100k/images/train/T000009.png,data/corrupted/100k_blur_15x15_s5/train/T000009.png,819,HIGH,0%,0
T000010,68488,819,data/splits/100k/images/train/T000010.png,data/corrupted/100k_blur_15x15_s5/train/T000010.png,819,HIGH,0%,0
T000011,69059,819,data/splits/100k/images/train/T000011.png,data/corrupted/100k_blur_15x15_s5/train/T000011.png,819,HIGH,0%,0
T000012,68657,819,data/splits/100k/images/train/T000012.png,data/corrupted/100k_blur_15x15_s5/train/T000012.png,819,HIGH,0%,0
T000013,69220,819,data/splits/100k/images/train/T000013.png,data/corrupted/100k_blur_15x15_s5/train/T000013.png,819,HIGH,0%,0
T000014,69159,819,data/splits/100k/images/train/T000014.png,data/corrupted/100k_blur_15x15_s5/train/T000014.png,819,HIGH,0%,0
T000015,68845,819,data/splits/100k/images/train/T000015.png,data/corrupted/100k_blur_15x15_s5/train/T000015.png,819,HIGH,0%,0
T000016,68733,819,data/splits/100k/images/train/T000016.png,data/corrupted/100k_blur_15x15_s5/train/T000016.png,819,HIGH,0%,0
T000017,68531,819,data/splits/100k/images/train/T000017.png,data/corrupted/100k_blur_15x15_s5/train/T000017.png,819,HIGH,0%,0
