image_id,source_record_id,true_identity,image_path,low_quality_path,assigned_identity,quality_condition,noise_level,is_noisy
T000007,68745,819,data/corrupted/100k_blur_15x15_s5/train/T000007.png,data/corrupted/100k_blur_15x15_s5/train/T000007.png,4743,LOW,10%,1
T000024,68461,819,data/corrupted/100k_blur_15x15_s5/train/T000024.png,data/corrupted/100k_blur_15x15_s5/train/T000024.png,947,LOW,10%,1
T000052,207465,3410,data/corrupted/100k_blur_15x15_s5/train/T000052.png,data/corrupted/100k_blur_15x15_s5/train/T000052.png,27,LOW,10%,1
T000054,207692,3410,data/corrupted/100k_blur_15x15_s5/train/T000054.png,data/corrupted/100k_blur_15x15_s5/train/T000054.png,895,LOW,10%,1
T000085,207218,3410,data/corrupted/100k_blur_15x15_s5/train/T000085.png,data/corrupted/100k_blur_15x15_s5/train/T000085.png,733,LOW,10%,1
T000114,18170,138,data/corrupted/100k_blur_15x15_s5/train/T000114.png,data/corrupted/100k_blur_15x15_s5/train/T000114.png,6253,LOW,10%,1
T000115,17974,138,data/corrupted/100k_blur_15x15_s5/train/T000115.png,data/corrupted/100k_blur_15x15_s5/train/T000115.png,6594,LOW,10%,1
T000123,18087,138,data/corrupted/100k_blur_15x15_s5/train/T000123.png,data/corrupted/100k_blur_15x15_s5/train/T000123.png,3459,LOW,10%,1
T000128,17855,138,data/corrupted/100k_blur_15x15_s5/train/T000128.png,data/corrupted/100k_blur_15x15_s5/train/T000128.png,730,LOW,10%,1
T000138,18272,138,data/corrupted/100k_blur_15x15_s5/train/T000138.png,data/corrupted/100k_blur_15x15_s5/train/T000138.png,6692,LOW,10%,1
T000173,107895,1321,data/corrupted/100k_blur_15x15_s5/train/T000173.png,data/corrupted/100k_blur_15x15_s5/train/T000173.png,6685,LOW,10%,1
T000180,107993,1321,data/corrupted/100k_blur_15x15_s5/train/T000180.png,data/corrupted/100k_blur_15x15_s5/train/T000180.png,2804,LOW,10%,1
T000187,107456,1321,data/corrupted/100k_blur_15x15_s5/train/T000187.png,data/corrupted/100k_blur_15x15_s5/train/T000187.png,1538,LOW,10%,1
T000188,107980,1321,data/corrupted/100k_blur_15x15_s5/train/T000188.png,data/corrupted/100k_blur_15x15_s5/train/T000188.png,3606,LOW,10%,1
T000202,205606,3384,data/corrupted/100k_blur_15x15_s5/train/T000202.png,data/corrupted/100k_blur_15x15_s5/train/T000202.png,7300,LOW,10%,1
T000221,205621,3384,data/corrupted/100k_blur_15x15_s5/train/T000221.png,data/corrupted/100k_blur_15x15_s5/train/T000221.png,3209,LOW,10%,1
T000233,205962,3384,data/corrupted/100k_blur_15x15_s5/train/T000233.png,data/corrupted/100k_blur_15x15_s5/train/T000233.png,1709,LOW,10%,1
T000236,205453,3384,data/corrupted/100k_blur_15x15_s5/train/T000236.png,data/corrupted/100k_blur_15x15_s5/train/T000236.png,9533,LOW,10%,1
T000240,205849,3384,data/corrupted/100k_blur_15x15_s5/train/T000240.png,data/corrupted/100k_blur_15x15_s5/train/T000240.png,8303,LOW,10%,1
T000253,148282,2188,data/corrupted/100k_blur_15x15_s5/train/T000253.png,data/corrupted/100k_blur_15x15_s5/train/T000253.png,131,LOW,10%,1
T000286,148485,2188,data/corrupted/100k_blur_15x15_s5/train/T000286.png,data/corrupted/100k_blur_15x15_s5/train/T000286.png,2949,LOW,10%,1
T000305,189809,3024,data/corrupted/100k_blur_15x15_s5/train/T000305.png,data/corrupted/100k_blur_15x15_s5/train/T000305.png,3676,LOW,10%,1
T000311,189926,3024,data/corrupted/100k_blur_15x15_s5/train/T000311.png,data/corrupted/100k_blur_15x15_s5/train/T000311.png,275,LOW,10%,1
T000317,190302,3024,data/corrupted/100k_blur_15x15_s5/train/T000317.png,data/corrupted/100k_blur_15x15_s5/train/T000317.png,275,LOW,10%,1
T000327,190156,3024,data/corrupted/100k_blur_15x15_s5/train/T000327.png,data/corrupted/100k_blur_15x15_s5/train/T000327.png,590,LOW,10%,1
T000335,189781,3024,data/corrupted/100k_blur_15x15_s5/train/T000335.png,data/corrupted/100k_blur_15x15_s5/train/T000335.png,9853,LOW,10%,1
T000337,190056,3024,data/corrupted/100k_blur_15x15_s5/train/T000337.png,data/corrupted/100k_blur_15x15_s5/train/T000337.png,4711,LOW,10%,1
T000347,190076,3024,data/corrupted/100k_blur_15x15_s5/train/T000347.png,data/corrupted/100k_blur_15x15_s5/train/T000347.png,187,LOW,10%,1
T000358,73117,872,data/corrupted/100k_blur_15x15_s5/train/T000358.png,data/corrupted/100k_blur_15x15_s5/train/T000358.png,6864,LOW,10%,1
T000362,73059,872,data/corrupted/100k_blur_15x15_s5/train/T000362.png,data/corrupted/100k_blur_15x15_s5/train/T000362.png,8663,LOW,10%,1
T000377,73110,872,data/corrupted/100k_blur_15x15_s5/train/T000377.png,data/corrupted/100k_blur_15x15_s5/train/T000377.png,8444,LOW,10%,1
T000379,73584,872,data/corrupted/100k_blur_15x15_s5/train/T000379.png,data/corrupted/100k_blur_15x15_s5/train/T000379.png,967,LOW,10%,1
T000381,73551,872,data/corrupted/100k_blur_15x15_s5/train/T000381.png,data/corrupted/100k_blur_15x15_s5/train/T000381.png,1318,LOW,10%,1
T000402,177676,2749,data/corrupted/100k_blur_15x15_s5/train/T000402.png,data/corrupted/100k_blur_15x15_s5/train/T000402.png,8617,LOW,10%,1
T000405,177502,2749,data/corrupted/100k_blur_15x15_s5/train/T000405.png,data/corrupted/100k_blur_15x15_s5/train/T000405.png,5714,LOW,10%,1
T000411,177491,2749,data/corrupted/100k_blur_15x15_s5/train/T000411.png,data/corrupted/100k_blur_15x15_s5/train/T000411.png,8408,LOW,10%,1
T000413,177315,2749,data/corrupted/100k_blur_15x15_s5/train/T000413.png,data/corrupted/100k_blur_15x15_s5/train/T000413.png,46,LOW,10%,1
T000427,177301,2749,data/corrupted/100k_blur_15x15_s5/train/T000427.png,data/corrupted/100k_blur_15x15_s5/train/T000427.png,9923,LOW,10%,1
