image_id,source_record_id,true_identity,image_path,low_quality_path,assigned_identity,quality_condition,noise_level,is_noisy
T000003,68943,819,data/splits/100k/images/train/T000003.png,data/corrupted/100k_blur_15x15_s5/train/T000003.png,1685,HIGH,20%,1
T000007,68745,819,data/splits/100k/images/train/T000007.png,data/corrupted/100k_blur_15x15_s5/train/T000007.png,4743,HIGH,20%,1
T000024,68461,819,data/splits/100k/images/train/T000024.png,data/corrupted/100k_blur_15x15_s5/train/T000024.png,947,HIGH,20%,1
T000032,68596,819,data/splits/100k/images/train/T000032.png,data/corrupted/100k_blur_15x15_s5/train/T000032.png,7375,HIGH,20%,1
T000039,69125,819,data/splits/100k/images/train/T000039.png,data/corrupted/100k_blur_15x15_s5/train/T000039.png,2166,HIGH,20%,1
T000047,69162,819,data/splits/100k/images/train/T000047.png,data/corrupted/100k_blur_15x15_s5/train/T000047.png,6433,HIGH,20%,1
T000052,207465,3410,data/splits/100k/images/train/T000052.png,data/corrupted/100k_blur_15x15_s5/train/T000052.png,27,HIGH,20%,1
T000054,207692,3410,data/splits/100k/images/train/T000054.png,data/corrupted/100k_blur_15x15_s5/train/T000054.png,895,HIGH,20%,1
T000062,207179,3410,data/splits/100k/images/train/T000062.png,data/corrupted/100k_blur_15x15_s5/train/T000062.png,2677,HIGH,20%,1
T000071,207171,3410,data/splits/100k/images/train/T000071.png,data/corrupted/100k_blur_15x15_s5/train/T000071.png,3728,HIGH,20%,1
T000075,207798,3410,data/splits/100k/images/train/T000075.png,data/corrupted/100k_blur_15x15_s5/train/T000075.png,4489,HIGH,20%,1
T000083,207276,3410,data/splits/100k/images/train/T000083.png,data/corrupted/100k_blur_15x15_s5/train/T000083.png,1574,HIGH,20%,1
T000085,207218,3410,data/splits/100k/images/train/T000085.png,data/corrupted/100k_blur_15x15_s5/train/T000085.png,733,HIGH,20%,1
T000097,207750,3410,data/splits/100k/images/train/T000097.png,data/corrupted/100k_blur_15x15_s5/train/T000097.png,3743,HIGH,20%,1
T000098,207212,3410,data/splits/100k/images/train/T000098.png,data/corrupted/100k_blur_15x15_s5/train/T000098.png,6407,HIGH,20%,1
T000100,18324,138,data/splits/100k/images/train/T000100.png,data/corrupted/100k_blur_15x15_s5/train/T000100.png,40,HIGH,20%,1
T000106,18440,138,data/splits/100k/images/train/T000106.png,data/corrupted/100k_blur_15x15_s5/train/T000106.png,6983,HIGH,20%,1
T000114,18170,138,data/splits/100k/images/train/T000114.png,data/corrupted/100k_blur_15x15_s5/train/T000114.png,6253,HIGH,20%,1
T000115,17974,138,data/splits/100k/images/train/T000115.png,data/corrupted/100k_blur_15x15_s5/train/T000115.png,6594,HIGH,20%,1
T000123,18087,138,data/splits/100k/images/train/T000123.png,data/corrupted/100k_blur_15x15_s5/train/T000123.png,3459,HIGH,20%,1
T000125,18500,138,data/splits/100k/images/train/T000125.png,data/corrupted/100k_blur_15x15_s5/train/T000125.png,8146,HIGH,20%,1
T000128,17855,138,data/splits/100k/images/train/T000128.png,data/corrupted/100k_blur_15x15_s5/train/T000128.png,730,HIGH,20%,1
T000129,18430,138,data/splits/100k/images/train/T000129.png,data/corrupted/100k_blur_15x15_s5/train/T000129.png,3004,HIGH,20%,1
T000138,18272,138,data/splits/100k/images/train/T000138.png,data/corrupted/100k_blur_15x15_s5/train/T000138.png,6692,HIGH,20%,1
T000142,17943,138,data/splits/100k/images/train/T000142.png,data/corrupted/100k_blur_15x15_s5/train/T000142.png,7165,HIGH,20%,1
T000143,18484,138,data/splits/100k/images/train/T000143.png,data/corrupted/100k_blur_15x15_s5/train/T000143.png,256,HIGH,20%,1
