image_id,true_identity,assigned_identity,noise_level,seed
T000007,819,4743,10%,42
T000024,819,947,10%,42
T000052,3410,27,10%,42
T000054,3410,895,10%,42
T000085,3410,733,10%,42
T000114,138,6253,10%,42
T000115,138,6594,10%,42
T000123,138,3459,10%,42
T000128,138,730,10%,42
T000138,138,6692,10%,42
T000173,1321,6685,10%,42
T000180,1321,2804,10%,42
T000187,1321,1538,10%,42
T000188,1321,3606,10%,42
T000202,3384,7300,10%,42
T000221,3384,3209,10%,42
T000233,3384,1709,10%,42
T000236,3384,9533,10%,42
T000240,3384,8303,10%,42
T000253,2188,131,10%,42
T000286,2188,2949,10%,42
T000305,3024,3676,10%,42
T000311,3024,275,10%,42
T000317,3024,275,10%,42
T000327,3024,590,10%,42
T000335,3024,9853,10%,42
T000337,3024,4711,10%,42
T000347,3024,187,10%,42
T000358,872,6864,10%,42
T000362,872,8663,10%,42
T000377,872,8444,10%,42
T000379,872,967,10%,42
T000381,872,1318,10%,42
T000402,2749,8617,10%,42
T000405,2749,5714,10%,42
T000411,2749,8408,10%,42
T000413,2749,46,10%,42
T000427,2749,9923,10%,42
T000430,2749,1265,10%,42
T000432,2749,3693,10%,42
T000442,2749,9164,10%,42
T000450,4111,2941,10%,42
T000461,4111,1375,10%,42
T000467,4111,1876,10%,42
T000471,4111,673,10%,42
T000473,4111,6119,10%,42
T000475,4111,6575,10%,42
T000494,4111,889,10%,42
T000537,2189,1673,10%,42
T000539,2189,2108,10%,42
T000545,2189,264,10%,42
T000549,2189,6787,10%,42
T000555,5287,4808,10%,42
T000582,5287,3055,10%,42
T000585,5287,5725,10%,42
T000587,5287,5889,10%,42
T000595,5287,7037,10%,42
T000603,6374,8416,10%,42
T000612,6374,6599,10%,42
T000647,6374,891,10%,42
T000650,4670,2815,10%,42
T000653,4670,3871,10%,42
T000660,4670,513,10%,42
T000719,41,1087,10%,42
T000722,41,7115,10%,42
T000737,41,2346,10%,42
T000744,41,1079,10%,42
T000753,1542,975,10%,42
T000754,1542,2188,10%,42
T000761,1542,71,10%,42
T000785,1542,4622,10%,42
T000789,1542,76,10%,42
T000816,6090,4364,10%,42
T000822,6090,2639,10%,42
T000852,4968,893,10%,42
T000857,4968,9836,10%,42
T000865,4968,2965,10%,42
T000869,4968,4151,10%,42
T000875,4968,7392,10%,42
T000877,4968,3870,10%,42
T000884,4968,377,10%,42
T000890,4968,185,10%,42
T000903,37,1959,10%,42
T000906,37,199,10%,42
T000907,37,3114,10%,42
T000970,6224,1935,10%,42
T000976,6224,333,10%,42
T000981,6224,3330,10%,42
T000982,6224,7981,10%,42
T000988,6224,891,10%,42
T000996,6224,4183,10%,42
T000999,6224,9997,10%,42
T001002,956,1115,10%,42
T001011,956,8613,10%,42
T001019,956,2034,10%,42
T001021,956,1815,10%,42
T001031,956,605,10%,42
T001040,956,3165,10%,42
T001051,6332,738,10%,42
T001053,6332,2100,10%,42
T001071,6332,2331,10%,42
T001076,6332,4204,10%,42
T001077,6332,2804,10%,42
T001095,6332,1098,10%,42
T001106,1317,2264,10%,42
T001107,1317,4292,10%,42
T001110,1317,8067,10%,42
T001126,1317,987,10%,42
T001129,1317,9617,10%,42
T001131,1317,5834,10%,42
T001138,1317,6838,10%,42
T001147,1317,136,10%,42
T001148,1317,10314,10%,42
T001151,658,7115,10%,42
T001171,658,32,10%,42
T001243,1299,6573,10%,42
T001248,1299,79,10%,42
T001249,1299,5846,10%,42
T001257,1245,4621,10%,42
T001266,1245,4048,10%,42
T001272,1245,5839,10%,42
T001307,1994,995,10%,42
T001330,1994,651,10%,42
T001338,1994,7018,10%,42
T001343,1994,4088,10%,42
T001350,256,7940,10%,42
T001353,256,10281,10%,42
T001355,256,5067,10%,42
T001361,256,3749,10%,42
T001364,256,1286,10%,42
T001381,256,462,10%,42
T001403,4401,4312,10%,42
T001408,4401,4603,10%,42
T001431,4401,2806,10%,42
T001434,4401,2433,10%,42
T001438,4401,8791,10%,42
T001449,4401,5377,10%,42
T001457,23,9987,10%,42
T001458,23,193,10%,42
T001485,23,966,10%,42
T001489,23,5067,10%,42
T001491,23,5322,10%,42
T001506,194,2027,10%,42
T001513,194,605,10%,42
T001515,194,3895,10%,42
T001525,194,5503,10%,42
T001530,194,5657,10%,42
T001533,194,8861,10%,42
T001538,194,1317,10%,42
T001552,1822,1004,10%,42
T001556,1822,10535,10%,42
T001559,1822,1468,10%,42
T001570,1822,9936,10%,42
T001593,1822,3676,10%,42
T001594,1822,8146,10%,42
T001595,1822,764,10%,42
T001612,3989,9524,10%,42
T001643,3989,6777,10%,42
T001669,1226,1888,10%,42
T001685,1226,6094,10%,42
T001686,1226,9118,10%,42
T001692,1226,771,10%,42
T001703,513,6271,10%,42
T001708,513,1933,10%,42
T001712,513,3007,10%,42
T001716,513,6675,10%,42
T001720,513,18,10%,42
T001723,513,9544,10%,42
T001731,513,497,10%,42
T001749,513,2227,10%,42
T001771,8071,1266,10%,42
T001775,8071,2715,10%,42
T001782,8071,83,10%,42
T001788,8071,5153,10%,42
T001802,2439,8739,10%,42
T001808,2439,944,10%,42
T001843,2439,4982,10%,42
T001847,2439,9292,10%,42
