source_record_id,true_identity,image_id,image_path,low_quality_path,assigned_identity
68935,819,H000000,data/splits/100k/images/heldout/H000000.png,data/corrupted/100k_blur_15x15_s5/heldout/H000000.png,819
68889,819,H000001,data/splits/100k/images/heldout/H000001.png,data/corrupted/100k_blur_15x15_s5/heldout/H000001.png,819
68621,819,H000002,data/splits/100k/images/heldout/H000002.png,data/corrupted/100k_blur_15x15_s5/heldout/H000002.png,819
69090,819,H000003,data/splits/100k/images/heldout/H000003.png,data/corrupted/100k_blur_15x15_s5/heldout/H000003.png,819
207238,3410,H000004,data/splits/100k/images/heldout/H000004.png,data/corrupted/100k_blur_15x15_s5/heldout/H000004.png,3410
207552,3410,H000005,data/splits/100k/images/heldout/H000005.png,data/corrupted/100k_blur_15x15_s5/heldout/H000005.png,3410
207801,3410,H000006,data/splits/100k/images/heldout/H000006.png,data/corrupted/100k_blur_15x15_s5/heldout/H000006.png,3410
207280,3410,H000007,data/splits/100k/images/heldout/H000007.png,data/corrupted/100k_blur_15x15_s5/heldout/H000007.png,3410
17948,138,H000008,data/splits/100k/images/heldout/H000008.png,data/corrupted/100k_blur_15x15_s5/heldout/H000008.png,138
17994,138,H000009,data/splits/100k/images/heldout/H000009.png,data/corrupted/100k_blur_15x15_s5/heldout/H000009.png,138
17901,138,H000010,data/splits/100k/images/heldout/H000010.png,data/corrupted/100k_blur_15x15_s5/heldout/H000010.png,138
17954,138,H000011,data/splits/100k/images/heldout/H000011.png,data/corrupted/100k_blur_15x15_s5/heldout/H000011.png,138
107573,1321,H000012,data/splits/100k/images/heldout/H000012.png,data/corrupted/100k_blur_15x15_s5/heldout/H000012.png,1321
107431,1321,H000013,data/splits/100k/images/heldout/H000013.png,data/corrupted/100k_blur_15x15_s5/heldout/H000013.png,1321
107884,1321,H000014,data/splits/100k/images/heldout/H000014.png,data/corrupted/100k_blur_15x15_s5/heldout/H000014.png,1321
107629,1321,H000015,data/splits/100k/images/heldout/H000015.png,data/corrupted/100k_blur_15x15_s5/heldout/H000015.png,1321
205619,3384,H000016,data/splits/100k/images/heldout/H000016.png,data/corrupted/100k_blur_15x15_s5/heldout/H000016.png,3384
205799,3384,H000017,data/splits/100k/images/heldout/H000017.png,data/corrupted/100k_blur_15x15_s5/heldout/H000017.png,3384
