source_record_id,true_identity,image_id,image_path,low_quality_path,assigned_identity,false_identity
68935,819,H000000,data/splits/100k/images/heldout/H000000.png,data/corrupted/100k_blur_15x15_s5/heldout/H000000.png,819,1143
68889,819,H000001,data/splits/100k/images/heldout/H000001.png,data/corrupted/100k_blur_15x15_s5/heldout/H000001.png,819,595
68621,819,H000002,data/splits/100k/images/heldout/H000002.png,data/corrupted/100k_blur_15x15_s5/heldout/H000002.png,819,5278
69090,819,H000003,data/splits/100k/images/heldout/H000003.png,data/corrupted/100k_blur_15x15_s5/heldout/H000003.png,819,3986
207238,3410,H000004,data/splits/100k/images/heldout/H000004.png,data/corrupted/100k_blur_15x15_s5/heldout/H000004.png,3410,2882
207552,3410,H000005,data/splits/100k/images/heldout/H000005.png,data/corrupted/100k_blur_15x15_s5/heldout/H000005.png,3410,5078
207801,3410,H000006,data/splits/100k/images/heldout/H000006.png,data/corrupted/100k_blur_15x15_s5/heldout/H000006.png,3410,923
207280,3410,H000007,data/splits/100k/images/heldout/H000007.png,data/corrupted/100k_blur_15x15_s5/heldout/H000007.png,3410,32
17948,138,H000008,data/splits/100k/images/heldout/H000008.png,data/corrupted/100k_blur_15x15_s5/heldout/H000008.png,138,3316
17994,138,H000009,data/splits/100k/images/heldout/H000009.png,data/corrupted/100k_blur_15x15_s5/heldout/H000009.png,138,145
17901,138,H000010,data/splits/100k/images/heldout/H000010.png,data/corrupted/100k_blur_15x15_s5/heldout/H000010.png,138,58
17954,138,H000011,data/splits/100k/images/heldout/H000011.png,data/corrupted/100k_blur_15x15_s5/heldout/H000011.png,138,1050
107573,1321,H000012,data/splits/100k/images/heldout/H000012.png,data/corrupted/100k_blur_15x15_s5/heldout/H000012.png,1321,7083
107431,1321,H000013,data/splits/100k/images/heldout/H000013.png,data/corrupted/100k_blur_15x15_s5/heldout/H000013.png,1321,5171
107884,1321,H000014,data/splits/100k/images/heldout/H000014.png,data/corrupted/100k_blur_15x15_s5/heldout/H000014.png,1321,2882
107629,1321,H000015,data/splits/100k/images/heldout/H000015.png,data/corrupted/100k_blur_15x15_s5/heldout/H000015.png,1321,4761
205619,3384,H000016,data/splits/100k/images/heldout/H000016.png,data/corrupted/100k_blur_15x15_s5/heldout/H000016.png,3384,3479
205799,3384,H000017,data/splits/100k/images/heldout/H000017.png,data/corrupted/100k_blur_15x15_s5/heldout/H000017.png,3384,6261
205947,3384,H000018,data/splits/100k/images/heldout/H000018.png,data/corrupted/100k_blur_15x15_s5/heldout/H000018.png,3384,3922
205448,3384,H000019,data/splits/100k/images/heldout/H000019.png,data/corrupted/100k_blur_15x15_s5/heldout/H000019.png,3384,3224
148171,2188,H000020,data/splits/100k/images/heldout/H000020.png,data/corrupted/100k_blur_15x15_s5/heldout/H000020.png,2188,443
148197,2188,H000021,data/splits/100k/images/heldout/H000021.png,data/corrupted/100k_blur_15x15_s5/heldout/H000021.png,2188,1306
148370,2188,H000022,data/splits/100k/images/heldout/H000022.png,data/corrupted/100k_blur_15x15_s5/heldout/H000022.png,2188,6815
148259,2188,H000023,data/splits/100k/images/heldout/H000023.png,data/corrupted/100k_blur_15x15_s5/heldout/H000023.png,2188,4627
189834,3024,H000024,data/splits/100k/images/heldout/H000024.png,data/corrupted/100k_blur_15x15_s5/heldout/H000024.png,3024,2023
189892,3024,H000025,data/splits/100k/images/heldout/H000025.png,data/corrupted/100k_blur_15x15_s5/heldout/H000025.png,3024,7518
189872,3024,H000026,data/splits/100k/images/heldout/H000026.png,data/corrupted/100k_blur_15x15_s5/heldout/H000026.png,3024,3479
189712,3024,H000027,data/splits/100k/images/heldout/H000027.png,data/corrupted/100k_blur_15x15_s5/heldout/H000027.png,3024,1981
73394,872,H000028,data/splits/100k/images/heldout/H000028.png,data/corrupted/100k_blur_15x15_s5/heldout/H000028.png,872,871
73627,872,H000029,data/splits/100k/images/heldout/H000029.png,data/corrupted/100k_blur_15x15_s5/heldout/H000029.png,872,9258
