image_id,image_path,low_quality_path,true_identity
T000000,data/splits/100k/images/train/T000000.png,data/corrupted/100k_blur_15x15_s5/train/T000000.png,819
T000001,data/splits/100k/images/train/T000001.png,data/corrupted/100k_blur_15x15_s5/train/T000001.png,819
T000002,data/splits/100k/images/train/T000002.png,data/corrupted/100k_blur_15x15_s5/train/T000002.png,819
T000003,data/splits/100k/images/train/T000003.png,data/corrupted/100k_blur_15x15_s5/train/T000003.png,819
T000004,data/splits/100k/images/train/T000004.png,data/corrupted/100k_blur_15x15_s5/train/T000004.png,819
T000005,data/splits/100k/images/train/T000005.png,data/corrupted/100k_blur_15x15_s5/train/T000005.png,819
T000006,data/splits/100k/images/train/T000006.png,data/corrupted/100k_blur_15x15_s5/train/T000006.png,819
T000007,data/splits/100k/images/train/T000007.png,data/corrupted/100k_blur_15x15_s5/train/T000007.png,819
T000008,data/splits/100k/images/train/T000008.png,data/corrupted/100k_blur_15x15_s5/train/T000008.png,819
T000009,data/splits/100k/images/train/T000009.png,data/corrupted/100k_blur_15x15_s5/train/T000009.png,819
T000010,data/splits/100k/images/train/T000010.png,data/corrupted/100k_blur_15x15_s5/train/T000010.png,819
T000011,data/splits/100k/images/train/T000011.png,data/corrupted/100k_blur_15x15_s5/train/T000011.png,819
T000012,data/splits/100k/images/train/T000012.png,data/corrupted/100k_blur_15x15_s5/train/T000012.png,819
T000013,data/splits/100k/images/train/T000013.png,data/corrupted/100k_blur_15x15_s5/train/T000013.png,819
T000014,data/splits/100k/images/train/T000014.png,data/corrupted/100k_blur_15x15_s5/train/T000014.png,819
T000015,data/splits/100k/images/train/T000015.png,data/corrupted/100k_blur_15x15_s5/train/T000015.png,819
T000016,data/splits/100k/images/train/T000016.png,data/corrupted/100k_blur_15x15_s5/train/T000016.png,819
T000017,data/splits/100k/images/train/T000017.png,data/corrupted/100k_blur_15x15_s5/train/T000017.png,819
T000018,data/splits/100k/images/train/T000018.png,data/corrupted/100k_blur_15x15_s5/train/T000018.png,819
T000019,data/splits/100k/images/train/T000019.png,data/corrupted/100k_blur_15x15_s5/train/T000019.png,819
T000020,data/splits/100k/images/train/T000020.png,data/corrupted/100k_blur_15x15_s5/train/T000020.png,819
T000021,data/splits/100k/images/train/T000021.png,data/corrupted/100k_blur_15x15_s5/train/T000021.png,819
T000022,data/splits/100k/images/train/T000022.png,data/corrupted/100k_blur_15x15_s5/train/T000022.png,819
T000023,data/splits/100k/images/train/T000023.png,data/corrupted/100k_blur_15x15_s5/train/T000023.png,819
T000024,data/splits/100k/images/train/T000024.png,data/corrupted/100k_blur_15x15_s5/train/T000024.png,819
T000025,data/splits/100k/images/train/T000025.png,data/corrupted/100k_blur_15x15_s5/train/T000025.png,819
T000026,data/splits/100k/images/train/T000026.png,data/corrupted/100k_blur_15x15_s5/train/T000026.png,819
T000027,data/splits/100k/images/train/T000027.png,data/corrupted/100k_blur_15x15_s5/train/T000027.png,819
T000028,data/splits/100k/images/train/T000028.png,data/corrupted/100k_blur_15x15_s5/train/T000028.png,819
T000029,data/splits/100k/images/train/T000029.png,data/corrupted/100k_blur_15x15_s5/train/T000029.png,819
T000030,data/splits/100k/images/train/T000030.png,data/corrupted/100k_blur_15x15_s5/train/T000030.png,819
T000031,data/splits/100k/images/train/T000031.png,data/corrupted/100k_blur_15x15_s5/train/T000031.png,819
T000032,data/splits/100k/images/train/T000032.png,data/corrupted/100k_blur_15x15_s5/train/T000032.png,819
T000033,data/splits/100k/images/train/T000033.png,data/corrupted/100k_blur_15x15_s5/train/T000033.png,819
T000034,data/splits/100k/images/train/T000034.png,data/corrupted/100k_blur_15x15_s5/train/T000034.png,819
T000035,data/splits/100k/images/train/T000035.png,data/corrupted/100k_blur_15x15_s5/train/T000035.png,819
T000036,data/splits/100k/images/train/T000036.png,data/corrupted/100k_blur_15x15_s5/train/T000036.png,819
T000037,data/splits/100k/images/train/T000037.png,data/corrupted/100k_blur_15x15_s5/train/T000037.png,819
T000038,data/splits/100k/images/train/T000038.png,data/corrupted/100k_blur_15x15_s5/train/T000038.png,819
T000039,data/splits/100k/images/train/T000039.png,data/corrupted/100k_blur_15x15_s5/train/T000039.png,819
T000040,data/splits/100k/images/train/T000040.png,data/corrupted/100k_blur_15x15_s5/train/T000040.png,819
T000041,data/splits/100k/images/train/T000041.png,data/corrupted/100k_blur_15x15_s5/train/T000041.png,819
T000042,data/splits/100k/images/train/T000042.png,data/corrupted/100k_blur_15x15_s5/train/T000042.png,819
T000043,data/splits/100k/images/train/T000043.png,data/corrupted/100k_blur_15x15_s5/train/T000043.png,819
T000044,data/splits/100k/images/train/T000044.png,data/corrupted/100k_blur_15x15_s5/train/T000044.png,819
T000045,data/splits/100k/images/train/T000045.png,data/corrupted/100k_blur_15x15_s5/train/T000045.png,819
T000046,data/splits/100k/images/train/T000046.png,data/corrupted/100k_blur_15x15_s5/train/T000046.png,819
T000047,data/splits/100k/images/train/T000047.png,data/corrupted/100k_blur_15x15_s5/train/T000047.png,819
T000048,data/splits/100k/images/train/T000048.png,data/corrupted/100k_blur_15x15_s5/train/T000048.png,819
T000049,data/splits/100k/images/train/T000049.png,data/corrupted/100k_blur_15x15_s5/train/T000049.png,819
T000050,data/splits/100k/images/train/T000050.png,data/corrupted/100k_blur_15x15_s5/train/T000050.png,3410
T000051,data/splits/100k/images/train/T000051.png,data/corrupted/100k_blur_15x15_s5/train/T000051.png,3410
T000052,data/splits/100k/images/train/T000052.png,data/corrupted/100k_blur_15x15_s5/train/T000052.png,3410
T000053,data/splits/100k/images/train/T000053.png,data/corrupted/100k_blur_15x15_s5/train/T000053.png,3410
T000054,data/splits/100k/images/train/T000054.png,data/corrupted/100k_blur_15x15_s5/train/T000054.png,3410
T000055,data/splits/100k/images/train/T000055.png,data/corrupted/100k_blur_15x15_s5/train/T000055.png,3410
T000056,data/splits/100k/images/train/T000056.png,data/corrupted/100k_blur_15x15_s5/train/T000056.png,3410
T000057,data/splits/100k/images/train/T000057.png,data/corrupted/100k_blur_15x15_s5/train/T000057.png,3410
T000058,data/splits/100k/images/train/T000058.png,data/corrupted/100k_blur_15x15_s5/train/T000058.png,3410
T000059,data/splits/100k/images/train/T000059.png,data/corrupted/100k_blur_15x15_s5/train/T000059.png,3410
T000060,data/splits/100k/images/train/T000060.png,data/corrupted/100k_blur_15x15_s5/train/T000060.png,3410
T000061,data/splits/100k/images/train/T000061.png,data/corrupted/100k_blur_15x15_s5/train/T000061.png,3410
