image_id,record_index,image_path,casia_identity,class_index,split
243,244,images/1/244.png,1,0,train
21,22,images/1/22.png,1,0,train
293,294,images/2/294.png,2,1,train
271,272,images/2/272.png,2,1,train
410,411,images/3/411.png,3,2,train
558,559,images/3/559.png,3,2,train
748,749,images/4/749.png,4,3,train
807,808,images/4/808.png,4,3,train
948,949,images/6/949.png,6,4,train
947,948,images/6/948.png,6,4,train
1039,1040,images/8/1040.png,8,5,train
1012,1013,images/8/1013.png,8,5,train
1358,1359,images/9/1359.png,9,6,train
1361,1362,images/9/1362.png,9,6,train
1496,1497,images/10/1497.png,10,7,train
1466,1467,images/10/1467.png,10,7,train
1665,1666,images/12/1666.png,12,8,train
1553,1554,images/12/1554.png,12,8,train
1698,1699,images/13/1699.png,13,9,train
1676,1677,images/13/1677.png,13,9,train
2031,2032,images/14/2032.png,14,10,train
2027,2028,images/14/2028.png,14,10,train
2253,2254,images/16/2254.png,16,11,train
2223,2224,images/16/2224.png,16,11,train
2287,2288,images/17/2288.png,17,12,train
2283,2284,images/17/2284.png,17,12,train
2377,2378,images/18/2378.png,18,13,train
2525,2526,images/18/2526.png,18,13,train
2797,2798,images/19/2798.png,19,14,train
2799,2800,images/19/2800.png,19,14,train
2866,2867,images/20/2867.png,20,15,train
2871,2872,images/20/2872.png,20,15,train
3096,3097,images/21/3097.png,21,16,train
3061,3062,images/21/3062.png,21,16,train
3363,3364,images/22/3364.png,22,17,train
3449,3450,images/22/3450.png,22,17,train
3677,3678,images/23/3678.png,23,18,train
3849,3850,images/23/3850.png,23,18,train
4224,4225,images/24/4225.png,24,19,train
4240,4241,images/24/4241.png,24,19,train
4543,4544,images/25/4544.png,25,20,train
4422,4423,images/25/4423.png,25,20,train
4658,4659,images/26/4659.png,26,21,train
4681,4682,images/26/4682.png,26,21,train
4959,4960,images/27/4960.png,27,22,train
4939,4940,images/27/4940.png,27,22,train
5096,5097,images/29/5097.png,29,23,train
5093,5094,images/29/5094.png,29,23,train
5134,5135,images/30/5135.png,30,24,train
5112,5113,images/30/5113.png,30,24,train
5371,5372,images/31/5372.png,31,25,train
5187,5188,images/31/5188.png,31,25,train
5655,5656,images/32/5656.png,32,26,train
5502,5503,images/32/5503.png,32,26,train
5750,5751,images/33/5751.png,33,27,train
5683,5684,images/33/5684.png,33,27,train
5940,5941,images/34/5941.png,34,28,train
6147,6148,images/34/6148.png,34,28,train
6297,6298,images/35/6298.png,35,29,train
6348,6349,images/35/6349.png,35,29,train
6385,6386,images/36/6386.png,36,30,train
6379,6380,images/36/6380.png,36,30,train
7120,7121,images/37/7121.png,37,31,train
6655,6656,images/37/6656.png,37,31,train
7190,7191,images/38/7191.png,38,32,train
7239,7240,images/38/7240.png,38,32,train
7395,7396,images/39/7396.png,39,33,train
7433,7434,images/39/7434.png,39,33,train
7663,7664,images/40/7664.png,40,34,train
7721,7722,images/40/7722.png,40,34,train
8306,8307,images/41/8307.png,41,35,train
8008,8009,images/41/8009.png,41,35,train
8344,8345,images/42/8345.png,42,36,train
8311,8312,images/42/8312.png,42,36,train
8465,8466,images/43/8466.png,43,37,train
8527,8528,images/43/8528.png,43,37,train
8576,8577,images/44/8577.png,44,38,train
8580,8581,images/44/8581.png,44,38,train
8786,8787,images/46/8787.png,46,39,train
8835,8836,images/46/8836.png,46,39,train
8979,8980,images/47/8980.png,47,40,train
9127,9128,images/47/9128.png,47,40,train
9348,9349,images/48/9349.png,48,41,train
9351,9352,images/48/9352.png,48,41,train
9414,9415,images/49/9415.png,49,42,train
9410,9411,images/49/9411.png,49,42,train
9622,9623,images/51/9623.png,51,43,train
9515,9516,images/51/9516.png,51,43,train
9803,9804,images/54/9804.png,54,44,train
9696,9697,images/54/9697.png,54,44,train
9922,9923,images/56/9923.png,56,45,train
9867,9868,images/56/9868.png,56,45,train
10055,10056,images/57/10056.png,57,46,train
10088,10089,images/57/10089.png,57,46,train
10183,10184,images/58/10184.png,58,47,train
10232,10233,images/58/10233.png,58,47,train
10316,10317,images/59/10317.png,59,48,train
10321,10322,images/59/10322.png,59,48,train
10410,10411,images/60/10411.png,60,49,train
10413,10414,images/60/10414.png,60,49,train
10493,10494,images/61/10494.png,61,50,train
10570,10571,images/61/10571.png,61,50,train
10605,10606,images/62/10606.png,62,51,train
10589,10590,images/62/10590.png,62,51,train
10634,10635,images/63/10635.png,63,52,train
10622,10623,images/63/10623.png,63,52,train
10726,10727,images/65/10727.png,65,53,train
10651,10652,images/65/10652.png,65,53,train
10767,10768,images/66/10768.png,66,54,train
10737,10738,images/66/10738.png,66,54,train
10884,10885,images/67/10885.png,67,55,train
10838,10839,images/67/10839.png,67,55,train
10989,10990,images/68/10990.png,68,56,train
10921,10922,images/68/10922.png,68,56,train
11415,11416,images/69/11416.png,69,57,train
11098,11099,images/69/11099.png,69,57,train
11525,11526,images/71/11526.png,71,58,train
11531,11532,images/71/11532.png,71,58,train
11562,11563,images/72/11563.png,72,59,train
11550,11551,images/72/11551.png,72,59,train
11714,11715,images/73/11715.png,73,60,train
11694,11695,images/73/11695.png,73,60,train
11824,11825,images/74/11825.png,74,61,train
11885,11886,images/74/11886.png,74,61,train
11931,11932,images/75/11932.png,75,62,train
11934,11935,images/75/11935.png,75,62,train
12127,12128,images/76/12128.png,76,63,train
11943,11944,images/76/11944.png,76,63,train
12208,12209,images/77/12209.png,77,64,train
12204,12205,images/77/12205.png,77,64,train
12318,12319,images/79/12319.png,79,65,train
12263,12264,images/79/12264.png,79,65,train
12470,12471,images/81/12471.png,81,66,train
12503,12504,images/81/12504.png,81,66,train
12590,12591,images/83/12591.png,83,67,train
12593,12594,images/83/12594.png,83,67,train
12841,12842,images/84/12842.png,84,68,train
12846,12847,images/84/12847.png,84,68,train
13144,13145,images/85/13145.png,85,69,train
12865,12866,images/85/12866.png,85,69,train
13454,13455,images/86/13455.png,86,70,train
13173,13174,images/86/13174.png,86,70,train
13479,13480,images/87/13480.png,87,71,train
13538,13539,images/87/13539.png,87,71,train
13621,13622,images/88/13622.png,88,72,train
13825,13826,images/88/13826.png,88,72,train
13928,13929,images/89/13929.png,89,73,train
13906,13907,images/89/13907.png,89,73,train
14038,14039,images/90/14039.png,90,74,train
13963,13964,images/90/13964.png,90,74,train
14108,14109,images/92/14109.png,92,75,train
14105,14106,images/92/14106.png,92,75,train
14178,14179,images/93/14179.png,93,76,train
14156,14157,images/93/14157.png,93,76,train
14239,14240,images/94/14240.png,94,77,train
14227,14228,images/94/14228.png,94,77,train
14256,14257,images/95/14257.png,95,78,train
14261,14262,images/95/14262.png,95,78,train
14334,14335,images/96/14335.png,96,79,train
14364,14365,images/96/14365.png,96,79,train
14393,14394,images/97/14394.png,97,80,train
14375,14376,images/97/14376.png,97,80,train
14629,14630,images/98/14630.png,98,81,train
14626,14627,images/98/14627.png,98,81,train
14685,14686,images/99/14686.png,99,82,train
14663,14664,images/99/14664.png,99,82,train
