casia_identity,class_index,available_images,selected_images,train_images,val_images
1,0,256,30,25,5
2,1,69,30,25,5
3,2,404,30,25,5
4,3,74,30,25,5
6,4,137,30,25,5
8,5,247,30,25,5
9,6,160,30,25,5
10,7,100,30,25,5
12,8,142,30,25,5
13,9,70,30,25,5
14,10,402,30,25,5
16,11,100,30,25,5
17,12,37,30,25,5
18,13,406,30,25,5
19,14,153,30,25,5
20,15,58,30,25,5
21,16,409,30,25,5
22,17,272,30,25,5
23,18,487,30,25,5
24,19,220,30,25,5
25,20,327,30,25,5
26,21,185,30,25,5
27,22,163,30,25,5
29,23,96,30,25,5
30,24,69,30,25,5
31,25,255,30,25,5
32,26,232,30,25,5
33,27,199,30,25,5
34,28,317,30,25,5
35,29,186,30,25,5
36,30,204,30,25,5
37,31,551,30,25,5
38,32,198,30,25,5
39,33,336,30,25,5
40,34,72,30,25,5
41,35,580,30,25,5
42,36,78,30,25,5
43,37,172,30,25,5
44,38,34,30,25,5
46,39,302,30,25,5
47,40,406,30,25,5
48,41,38,30,25,5
49,42,63,30,25,5
51,43,187,30,25,5
54,44,168,30,25,5
56,45,150,30,25,5
57,46,119,30,25,5
58,47,198,30,25,5
59,48,61,30,25,5
60,49,38,30,25,5
61,50,159,30,25,5
62,51,33,30,25,5
63,52,30,30,25,5
65,53,86,30,25,5
66,54,79,30,25,5
67,55,95,30,25,5
68,56,109,30,25,5
69,57,436,30,25,5
71,58,64,30,25,5
72,59,42,30,25,5
73,60,164,30,25,5
74,61,155,30,25,5
75,62,39,30,25,5
76,63,254,30,25,5
77,64,37,30,25,5
79,65,149,30,25,5
81,66,118,30,25,5
83,67,120,30,25,5
84,68,190,30,25,5
85,69,308,30,25,5
86,70,311,30,25,5
87,71,73,30,25,5
88,72,318,30,25,5
89,73,97,30,25,5
90,74,86,30,25,5
92,75,51,30,25,5
93,76,98,30,25,5
94,77,42,30,25,5
95,78,59,30,25,5
96,79,54,30,25,5
97,80,241,30,25,5
98,81,40,30,25,5
99,82,36,30,25,5
