image_id,Delta_A,Delta_B,Delta_C,Delta_D,factorial_interaction
243,-5.847359176414102e-06,-0.0001361373724648729,-1.1427902579307556,-0.1835356391966343,-0.9593849087474098
24,-0.00011959935545746703,-0.0019240743968111929,-0.02562946151010692,-1.5088442042469978,1.4814102676955372
214,5.329908617568435e-05,-0.015563076129183173,-0.0016389279735449236,1.7701129913330078,-1.7873682945219116
167,-4.686277407017769e-06,-0.0129791937652044,-0.07371770963072777,0.05819892883300781,-0.14489114595153296
289,1.9131138344619103e-06,-0.00040864417678676546,-0.019346688874065876,-0.004956871387548745,-0.014800374777138359
304,0.0005369229456846369,0.013822602282743901,0.00043213911703787744,3.744516372680664,-3.730798554226567
302,-4.566004145090119e-05,-0.0008009026641957462,-0.003662817951408215,-0.8211405426263809,0.8167224820522279
276,-1.2727794455713592e-05,0.0002848086951416917,0.0010568122379481792,-0.3724510669708252,0.3738054156983708
382,-2.158024835807737e-05,-3.112072590738535e-07,-0.0087240319699049,1.2114964723587036,-1.2201992352875095
605,0.00015318202804337488,0.1378452554345131,0.09278231672942638,-0.7774028778076172,1.0078772679435133
595,0.00021883883891860023,-0.0018126921204384416,-0.0006059128209017217,-0.3191795349121094,0.3165420911318506
517,-3.088738685619319e-05,2.6295034331269562e-05,-0.0037002642638981342,-0.003897518152371049,0.00025443630966037745
762,0.004377633857075125,-5.387113196775317e-05,-0.0033915372332558036,0.08281517028808594,-0.09063821251038462
817,-8.734943048693822e-05,-0.0024809346432448365,-0.017636158387176692,-0.9835841208696365,0.963554377269702
753,-4.4479436667188565e-07,-0.0029416953038889915,-0.008781115495366976,-2.257701873779297,2.2459795077744076
805,-8.02111742359557e-07,-0.002882606553612277,-0.09665434155613184,1.2687339782714844,-1.3682701242694861
909,-0.0001517073396826163,-0.0026279318699380383,-0.001892120111733675,-9.674486875534058,9.670118530892069
928,-3.954499632641273e-06,-4.953762982040644e-07,-0.0025747304898686707,-0.20574449375271797,0.20317322238618374
910,-1.7089042557927314e-05,-0.41732295602560043,-6.461201701313257e-05,1.7646293640136719,-2.1819998430137275
975,4.474293291423237e-08,-0.00402762096200604,-0.00034292874624952674,-2.728059023618698,2.7236884291675096
1012,5.367761673369387e-05,-0.00020531074551399797,0.0023038291838020086,1.1180400848388672,-1.1159952440173129
1092,-0.00015529169922956498,-0.0011349323322065175,-0.362287363037467,-0.4564986005425453,0.09323159687210136
1237,-0.0006830923812231049,-0.00013773090176982805,-0.0037390408106148243,-0.0036898525431752205,0.000496173212013673
1188,-2.1365081920521334e-05,-0.0016092728183139116,-0.00033146782334370073,2.210416793823242,-2.2123361693829793
1358,-0.001521834745290107,-0.014376197243109345,-0.007568648798041977,2.120119094848633,-2.140542106144494
1304,-6.2887779961329215e-06,-0.0008037239022087306,-0.03321369324112311,-0.0185409810510464,-0.015470147314289306
1353,-5.764855654888379e-05,-0.0035264171892777085,-0.024221404164563864,0.6578006744384766,-0.6854908472357693
1284,9.065630729310215e-05,-0.008551748585887253,-0.009478330001002178,-1.3975048065185547,1.3793840716243722
1413,2.7141756618220825e-05,-0.008640908461529762,1.2086084097973071e-05,1.7359867095947266,-1.7446426737287766
1446,0.00014177598637843403,1.6445684656500816,-0.0005899430252611637,-0.43283653259277344,2.0766732792312155
1489,-3.192607982782647e-05,-0.0008013895530893933,-0.014473925868514925,-5.553048133850098,5.537804744508321
1439,-0.00023897660139482468,-0.0063032048783497885,-0.007902559984358959,1.9952945709228516,-2.0092613591841655
1552,-1.0551654668233823e-05,-0.0011132765503134578,-0.001137366984039545,1.5144538879394531,-1.516693979819138
1598,-0.00024411130652879365,-0.00010909738011832815,-0.37256111949682236,-3.407644808292389,3.035218702721977
1603,2.082646892631601e-05,0.000917922705411911,-0.011184561997652054,-1.1956358402967453,1.1853483745355788
1658,-2.5289195036748424e-05,-0.03293941915035248,-0.03865118871908635,-8.046716690063477,7.9751513713890745
