condition,image_id,G_actual,G_neutral,Delta_G,cosine_sim
A,243,3.7548451814473083e-07,6.222843694558833e-06,-5.847359176414102e-06,0.5055959820747375
A,24,1.1881942555191927e-05,0.00013148129801265895,-0.00011959935545746703,0.9996305108070374
A,214,6.39346762909554e-05,1.0635590115271043e-05,5.329908617568435e-05,0.9973205327987671
A,167,6.471500910265604e-06,1.1157778317283373e-05,-4.686277407017769e-06,0.9964560270309448
A,289,2.3130462523113238e-06,3.9993241784941347e-07,1.9131138344619103e-06,0.7181692123413086
A,304,0.0005398635403253138,2.9405946406768635e-06,0.0005369229456846369,0.9999956488609314
A,302,6.844725248811301e-07,4.634451397578232e-05,-4.566004145090119e-05,0.7184697389602661
A,276,1.6245701772277243e-05,2.8973496227990836e-05,-1.2727794455713592e-05,0.9950356483459473
A,382,1.805173269531224e-05,3.963198105338961e-05,-2.158024835807737e-05,0.9981107115745544
A,605,0.00015924964100122452,6.067612957849633e-06,0.00015318202804337488,0.9958804249763489
A,595,0.00024014449445530772,2.130565553670749e-05,0.00021883883891860023,0.996189534664154
A,517,5.464050445880275e-06,3.6351437302073464e-05,-3.088738685619319e-05,0.9995579719543457
A,762,0.004547491669654846,0.0001698578125797212,0.004377633857075125,0.9971680641174316
A,817,6.610547188756755e-06,9.395997767569497e-05,-8.734943048693822e-05,0.9979340434074402
A,753,5.615804354874854e-08,5.009524102206342e-07,-4.4479436667188565e-07,1.0
A,805,2.994864303218492e-07,1.1015981726814061e-06,-8.02111742359557e-07,1.0
A,909,3.7313890061341226e-05,0.00018902122974395752,-0.0001517073396826163,0.9974667429924011
A,928,1.8990310479694017e-07,4.144402737438213e-06,-3.954499632641273e-06,0.580424964427948
A,910,6.512814252346288e-06,2.3601856810273603e-05,-1.7089042557927314e-05,0.9997286796569824
A,975,2.1532413541081041e-07,1.7058120249657804e-07,4.474293291423237e-08,1.0
A,1012,5.6848097301553935e-05,3.170480567860068e-06,5.367761673369387e-05,0.9719494581222534
A,1092,4.054784767504316e-06,0.0001593464839970693,-0.00015529169922956498,0.9794379472732544
A,1237,6.551221304107457e-05,0.0007486045942641795,-0.0006830923812231049,0.9984092116355896
A,1188,1.922663432196714e-05,4.0591716242488474e-05,-2.1365081920521334e-05,0.9999957084655762
A,1358,2.2457921659224667e-05,0.0015442926669493318,-0.001521834745290107,0.9974222183227539
A,1304,1.2467532428672712e-07,6.413453320419649e-06,-6.2887779961329215e-06,0.57096266746521
A,1353,3.127462832708261e-06,6.077601938159205e-05,-5.764855654888379e-05,0.9955061674118042
A,1284,0.00021958761499263346,0.00012893130769953132,9.065630729310215e-05,0.9999467134475708
A,1413,2.76325208687922e-05,4.907642505713739e-07,2.7141756618220825e-05,0.8056276440620422
A,1446,0.00014226947678253055,4.934904040965193e-07,0.00014177598637843403,0.7670839428901672
A,1489,1.3120494259055704e-05,4.5046574086882174e-05,-3.192607982782647e-05,0.999972939491272
A,1439,0.00011518060637172312,0.0003541572077665478,-0.00023897660139482468,0.999512791633606
A,1552,4.4305852497927845e-06,1.4982239918026607e-05,-1.0551654668233823e-05,0.9699335694313049
A,1598,1.7027643480105326e-05,0.000261138950008899,-0.00024411130652879365,0.9990289211273193
A,1603,2.4366325305891223e-05,3.5398563795752125e-06,2.082646892631601e-05,0.9779388904571533
A,1658,3.0263705411925912e-05,5.5552900448674336e-05,-2.5289195036748424e-05,0.9999560117721558
A,1686,2.2543934392160736e-05,0.00026919174706563354,-0.0002466478126734728,0.9978418350219727
A,1688,0.00011426505807321519,0.0002938017132692039,-0.00017953665519598871,0.9995671510696411
A,1743,2.5068156901397742e-05,6.705330451950431e-05,-4.1985147618106566e-05,0.9999995231628418
A,1706,0.02067180909216404,2.0512759419943905e-06,0.020669757816222045,0.9249544739723206
A,1957,3.4118416806450114e-05,0.00044001027708873153,-0.0004058918602822814,0.9962468147277832
A,1839,0.0003085876815021038,3.4230110031785443e-05,0.00027435757147031836,0.9991788268089294
A,2108,7.340448064496741e-05,0.00036205362994223833,-0.0002886491492972709,0.9992517828941345
A,2095,3.248445409553824e-06,2.22809576371219e-05,-1.9032512227568077e-05,0.9450498819351196
A,2203,2.1368956026890373e-07,1.0018236935138702e-05,-9.804547374869799e-06,0.855545163154602
A,2247,7.763773464830592e-05,1.0611384823278058e-05,6.702634982502786e-05,0.9968767166137695
A,2182,2.690541691663384e-07,1.6905971278902143e-05,-1.6636917109735805e-05,0.7477872371673584
A,2225,1.1905940482392907e-06,2.6409652491565794e-06,-1.4503712009172887e-06,0.7500746250152588
A,2276,0.0004473472654353827,0.00019833838450722396,0.00024900888092815876,0.999742329120636
A,2282,1.0721651051426306e-06,1.8723640096141025e-05,-1.7651474990998395e-05,0.7368522882461548
A,2279,1.3346893865673337e-05,0.0007062875083647668,-0.0006929406144990935,0.9995570182800293
A,2291,6.052699245628901e-05,0.0007624744321219623,-0.0007019474396656733,0.9986902475357056
A,2462,0.000161005140398629,0.000898799451533705,-0.000737794311135076,0.9992209672927856
A,2502,2.9181899208197137e-06,0.00014941574772819877,-0.00014649755780737905,0.9808779358863831
A,2708,8.936035555962007e-08,9.663368473411538e-06,-9.574008117851918e-06,0.6670092344284058
A,2592,3.0588141726184404e-06,0.00016178948862943798,-0.00015873067445681954,0.9712811708450317
A,2799,4.64852164441254e-05,0.00010107310663443059,-5.458789019030519e-05,0.9999301433563232
A,2728,2.8076772650820203e-05,0.0006145357619971037,-0.0005864589893462835,0.9947718977928162
A,2722,2.748326733126305e-05,0.0004501282819546759,-0.00042264501462341286,0.9922902584075928
A,2764,2.248828650408541e-06,1.5128927771002054e-05,-1.2880099120593513e-05,0.947035551071167
A,2879,2.915554887295002e-06,9.45175088418182e-06,-6.536195996886818e-06,0.993861198425293
A,2910,1.0288403018421377e-06,0.00014906370779499412,-0.00014803486749315198,0.6678313612937927
A,2902,2.836809289874509e-05,0.0038536323700100183,-0.0038252642771112733,0.9853386878967285
A,2883,1.0456187737872824e-05,0.0010193813359364867,-0.001008925148198614,0.9971504211425781
A,2996,4.221786184643861e-06,1.3612631846626755e-05,-9.390845661982894e-06,0.9713600873947144
A,3265,4.7792975237825885e-05,0.0008478741510771215,-0.0008000811758392956,0.9991841316223145
A,3281,4.078223355463706e-06,4.321887900005095e-06,-2.4366454454138875e-07,0.9960930347442627
A,2933,2.754208617261611e-05,0.001974559621885419,-0.0019470175357128028,0.9958556890487671
A,3449,1.6689002222847193e-05,2.834615770552773e-05,-1.1657155482680537e-05,0.9998968243598938
A,3527,1.0266845492878929e-05,0.000273040437605232,-0.00026277359211235307,0.9983144402503967
A,3437,3.560859624940349e-07,4.469834311748855e-05,-4.434225715499451e-05,0.5790975093841553
A,3554,3.337093585287221e-05,3.3229262044187635e-05,1.4167380868457258e-07,0.9999871253967285
A,4042,0.00358880334533751,3.91233569985161e-08,0.0035887642219805116,0.9047322273254395
A,3684,2.2789498643760453e-07,5.993672675685957e-05,-5.9708831770421966e-05,0.44699129462242126
A,3970,2.824808404966461e-07,1.771331881172955e-05,-1.7430837971232904e-05,0.77635258436203
A,3830,0.00011039469973184168,1.2560034519992769e-05,9.783466521184891e-05,0.9968230724334717
A,4240,8.193179041882104e-07,2.704883627302479e-05,-2.622951836883658e-05,0.5693957805633545
A,4185,2.589231007732451e-05,1.6731750292819925e-05,9.160559784504585e-06,0.9998521208763123
A,4301,1.2466479347494897e-05,2.397471143922303e-05,-1.1508232091728132e-05,0.9999916553497314
A,4167,7.664471922907978e-06,0.0001288078783545643,-0.00012114340643165633,0.997391402721405
A,4532,8.75093576269137e-07,4.821650350095297e-07,3.929285412596073e-07,1.0
A,4493,2.1328285583877005e-05,7.426925776599091e-07,2.0585593006217096e-05,0.7774944305419922
A,4465,6.352013770083431e-06,1.3804158697894309e-05,-7.4521449278108776e-06,0.996462881565094
A,4458,5.688743476639502e-05,2.2035344500181964e-06,5.468390031637682e-05,0.9936954379081726
A,4750,1.809375680750236e-05,0.000644297746475786,-0.0006262039896682836,0.9956461787223816
A,4654,0.0002702471101656556,1.7052087059710175e-05,0.00025319502310594544,0.9998586177825928
A,4674,4.278416781744454e-06,0.0001314365945290774,-0.00012715817774733296,0.9870939254760742
A,4785,2.2253868792176945e-06,6.811755071112202e-08,2.1572693285065725e-06,0.7846837043762207
A,4853,4.401996557135135e-05,1.7167923942906782e-05,2.6852041628444567e-05,0.9958837032318115
A,4956,3.648586425697431e-05,2.2781028746976517e-05,1.3704835509997793e-05,0.9999625086784363
A,4833,6.838311492174398e-06,6.921859494468663e-07,6.146125542727532e-06,0.7251522541046143
A,4855,2.7961634259554558e-05,0.0005081841954961419,-0.00048022256123658735,0.999406099319458
A,5093,0.21507251262664795,6.2218226126731224e-09,0.21507250640482534,0.5651358962059021
A,5026,0.002407124498859048,6.842581115051871e-07,0.0024064402407475427,0.6975218057632446
A,5080,2.7630883323581656e-06,6.946283974684775e-05,-6.669975141448958e-05,0.9889291524887085
A,5104,7.76843007770367e-05,1.4642979806467338e-07,7.753787097897202e-05,0.8449736833572388
A,5134,1.2607490589289228e-06,9.311335816164501e-06,-8.050586757235578e-06,0.8062933683395386
A,5145,3.4078922908520326e-05,0.00032277635182254016,-0.00028869742891401984,0.9994716644287109
A,5169,5.031156251789071e-05,8.983394218375906e-05,-3.952237966586836e-05,0.9999790191650391
A,5154,0.00010486656537977979,3.8409396552196995e-08,0.00010482815598322759,0.7265288829803467
A,5371,9.794405286811525e-07,3.466274938546121e-05,-3.368330885678006e-05,0.555487871170044
A,5386,1.4201296835381072e-05,2.4193213903345168e-05,-9.991917067964096e-06,0.9989041090011597
A,5200,1.1385599464119878e-05,2.813325636452646e-06,8.572273827667232e-06,0.9547379016876221
A,5301,2.3506283469032496e-05,8.520515279997198e-07,2.2654231941032776e-05,0.7221362590789795
A,5502,0.0016490626148879528,8.70811527420301e-06,0.0016403544996137498,0.9908252358436584
A,5611,1.1140951755805872e-05,0.0001179558748845011,-0.00010681492312869523,0.9997744560241699
A,5544,3.727585499291308e-05,1.5784837160026655e-05,2.1491017832886428e-05,0.9999286532402039
A,5617,5.549580237129703e-05,9.168383257929236e-06,4.6327419113367796e-05,0.9996405839920044
A,5683,3.92358451790642e-05,0.0020494398195296526,-0.0020102039743505884,0.995180606842041
A,5728,1.4381861547008157e-05,3.251107614232751e-07,1.4056750785584882e-05,0.8273281455039978
A,5758,8.343927038367838e-05,0.00030528518254868686,-0.00022184591216500849,0.9995651245117188
A,5840,8.208672807086259e-05,0.0005664977943524718,-0.00048441106628160924,0.9974262714385986
A,6179,4.756614998768782e-06,8.149801260515233e-07,3.941634872717259e-06,0.7421325445175171
A,6112,0.00022745589376427233,6.164887054183055e-07,0.00022683940505885403,0.8122313022613525
A,6069,1.04971122709685e-05,2.937917633971665e-05,-1.888206406874815e-05,0.9998300075531006
A,5975,5.383632014854811e-06,1.8656352040125057e-05,-1.3272720025270246e-05,0.9998512268066406
A,6219,4.683845691033639e-05,4.390947287902236e-05,2.9289840313140303e-06,0.9997090101242065
