epoch,condition,mean_cg,median_cg
10,A,419.66323078541603,421.39804458618164
10,B,422.7226883156903,422.82139587402344
10,C,419.37149898095305,419.26495361328125
10,D,416.3576039517644,416.49484062194824
20,A,626.4313727166061,640.7321014404297
20,B,709.7352382295364,720.2453441619873
20,C,709.6002466744523,714.6113204956055
20,D,721.2876021114889,724.3481101989746
30,A,636.6582953440777,649.079869678244
30,B,847.2717970337438,856.1344792842865
30,C,807.5583776782858,801.7571689784527
30,D,943.2869547101875,965.5986881256104
40,A,642.1061465467151,653.7402115270961
40,B,927.7421988138665,920.1684757787734
40,C,850.9740841150515,834.851025134325
40,D,1120.495613065004,1154.9789924621582
