image_id,record_index,casia_identity,class_index,image_path,quality_condition,source_image_id,blur_parameter,assigned_class_index,noise_status,noise_seed
243_low,244,1,0,data\corrupted\blur_15x15_s5\images\1\244.png,low,243,15x15_s5,0,clean,42
24_low,25,1,0,data\corrupted\blur_15x15_s5\images\1\25.png,low,24,15x15_s5,0,clean,42
214_low,215,1,0,data\corrupted\blur_15x15_s5\images\1\215.png,low,214,15x15_s5,0,clean,42
167_low,168,1,0,data\corrupted\blur_15x15_s5\images\1\168.png,low,167,15x15_s5,0,clean,42
289_low,290,2,1,data\corrupted\blur_15x15_s5\images\2\290.png,low,289,15x15_s5,1,clean,42
304_low,305,2,1,data\corrupted\blur_15x15_s5\images\2\305.png,low,304,15x15_s5,1,clean,42
302_low,303,2,1,data\corrupted\blur_15x15_s5\images\2\303.png,low,302,15x15_s5,1,clean,42
276_low,277,2,1,data\corrupted\blur_15x15_s5\images\2\277.png,low,276,15x15_s5,1,clean,42
382_low,383,3,2,data\corrupted\blur_15x15_s5\images\3\383.png,low,382,15x15_s5,2,clean,42
605_low,606,3,2,data\corrupted\blur_15x15_s5\images\3\606.png,low,605,15x15_s5,2,clean,42
595_low,596,3,2,data\corrupted\blur_15x15_s5\images\3\596.png,low,595,15x15_s5,2,clean,42
517_low,518,3,2,data\corrupted\blur_15x15_s5\images\3\518.png,low,517,15x15_s5,2,clean,42
762_low,763,4,3,data\corrupted\blur_15x15_s5\images\4\763.png,low,762,15x15_s5,3,clean,42
817_low,818,4,3,data\corrupted\blur_15x15_s5\images\4\818.png,low,817,15x15_s5,3,clean,42
753_low,754,4,3,data\corrupted\blur_15x15_s5\images\4\754.png,low,753,15x15_s5,3,clean,42
805_low,806,4,3,data\corrupted\blur_15x15_s5\images\4\806.png,low,805,15x15_s5,3,clean,42
909_low,910,6,4,data\corrupted\blur_15x15_s5\images\6\910.png,low,909,15x15_s5,4,clean,42
928_low,929,6,4,data\corrupted\blur_15x15_s5\images\6\929.png,low,928,15x15_s5,4,clean,42
910_low,911,6,4,data\corrupted\blur_15x15_s5\images\6\911.png,low,910,15x15_s5,4,clean,42
975_low,976,6,4,data\corrupted\blur_15x15_s5\images\6\976.png,low,975,15x15_s5,4,clean,42
1012_low,1013,8,5,data\corrupted\blur_15x15_s5\images\8\1013.png,low,1012,15x15_s5,5,clean,42
1092_low,1093,8,5,data\corrupted\blur_15x15_s5\images\8\1093.png,low,1092,15x15_s5,5,clean,42
1237_low,1238,8,5,data\corrupted\blur_15x15_s5\images\8\1238.png,low,1237,15x15_s5,5,clean,42
1188_low,1189,8,5,data\corrupted\blur_15x15_s5\images\8\1189.png,low,1188,15x15_s5,5,clean,42
1358_low,1359,9,6,data\corrupted\blur_15x15_s5\images\9\1359.png,low,1358,15x15_s5,6,clean,42
1304_low,1305,9,6,data\corrupted\blur_15x15_s5\images\9\1305.png,low,1304,15x15_s5,6,clean,42
1353_low,1354,9,6,data\corrupted\blur_15x15_s5\images\9\1354.png,low,1353,15x15_s5,6,clean,42
1284_low,1285,9,6,data\corrupted\blur_15x15_s5\images\9\1285.png,low,1284,15x15_s5,6,clean,42
1413_low,1414,10,7,data\corrupted\blur_15x15_s5\images\10\1414.png,low,1413,15x15_s5,7,clean,42
1446_low,1447,10,7,data\corrupted\blur_15x15_s5\images\10\1447.png,low,1446,15x15_s5,7,clean,42
1489_low,1490,10,7,data\corrupted\blur_15x15_s5\images\10\1490.png,low,1489,15x15_s5,7,clean,42
1439_low,1440,10,7,data\corrupted\blur_15x15_s5\images\10\1440.png,low,1439,15x15_s5,7,clean,42
