image_id,record_index,casia_identity,class_index,image_path,quality_condition,source_image_id,blur_parameter,assigned_class_index,noise_status,noise_seed
243,244,1,0,data\splits\pilot_100id\images\1\244.png,high,243,original,78,noisy,42
24,25,1,0,data\splits\pilot_100id\images\1\25.png,high,24,original,24,noisy,42
214,215,1,0,data\splits\pilot_100id\images\1\215.png,high,214,original,73,noisy,42
167,168,1,0,data\splits\pilot_100id\images\1\168.png,high,167,original,69,noisy,42
289,290,2,1,data\splits\pilot_100id\images\2\290.png,high,289,original,34,noisy,42
304,305,2,1,data\splits\pilot_100id\images\2\305.png,high,304,original,59,noisy,42
302,303,2,1,data\splits\pilot_100id\images\2\303.png,high,302,original,29,noisy,42
276,277,2,1,data\splits\pilot_100id\images\2\277.png,high,276,original,28,noisy,42
382,383,3,2,data\splits\pilot_100id\images\3\383.png,high,382,original,37,noisy,42
605,606,3,2,data\splits\pilot_100id\images\3\606.png,high,605,original,27,noisy,42
595,596,3,2,data\splits\pilot_100id\images\3\596.png,high,595,original,64,noisy,42
517,518,3,2,data\splits\pilot_100id\images\3\518.png,high,517,original,29,noisy,42
762,763,4,3,data\splits\pilot_100id\images\4\763.png,high,762,original,41,noisy,42
817,818,4,3,data\splits\pilot_100id\images\4\818.png,high,817,original,23,noisy,42
753,754,4,3,data\splits\pilot_100id\images\4\754.png,high,753,original,68,noisy,42
805,806,4,3,data\splits\pilot_100id\images\4\806.png,high,805,original,51,noisy,42
909,910,6,4,data\splits\pilot_100id\images\6\910.png,high,909,original,80,noisy,42
928,929,6,4,data\splits\pilot_100id\images\6\929.png,high,928,original,2,noisy,42
910,911,6,4,data\splits\pilot_100id\images\6\911.png,high,910,original,12,noisy,42
975,976,6,4,data\splits\pilot_100id\images\6\976.png,high,975,original,24,noisy,42
1012,1013,8,5,data\splits\pilot_100id\images\8\1013.png,high,1012,original,80,noisy,42
1092,1093,8,5,data\splits\pilot_100id\images\8\1093.png,high,1092,original,11,noisy,42
1237,1238,8,5,data\splits\pilot_100id\images\8\1238.png,high,1237,original,20,noisy,42
1188,1189,8,5,data\splits\pilot_100id\images\8\1189.png,high,1188,original,36,noisy,42
1358,1359,9,6,data\splits\pilot_100id\images\9\1359.png,high,1358,original,14,noisy,42
1304,1305,9,6,data\splits\pilot_100id\images\9\1305.png,high,1304,original,11,noisy,42
1353,1354,9,6,data\splits\pilot_100id\images\9\1354.png,high,1353,original,13,noisy,42
1284,1285,9,6,data\splits\pilot_100id\images\9\1285.png,high,1284,original,48,noisy,42
1413,1414,10,7,data\splits\pilot_100id\images\10\1414.png,high,1413,original,70,noisy,42
1446,1447,10,7,data\splits\pilot_100id\images\10\1447.png,high,1446,original,47,noisy,42
1489,1490,10,7,data\splits\pilot_100id\images\10\1490.png,high,1489,original,73,noisy,42
1439,1440,10,7,data\splits\pilot_100id\images\10\1440.png,high,1439,original,77,noisy,42
1552,1553,12,8,data\splits\pilot_100id\images\12\1553.png,high,1552,original,2,noisy,42
1598,1599,12,8,data\splits\pilot_100id\images\12\1599.png,high,1598,original,0,noisy,42
1603,1604,12,8,data\splits\pilot_100id\images\12\1604.png,high,1603,original,9,noisy,42
1658,1659,12,8,data\splits\pilot_100id\images\12\1659.png,high,1658,original,32,noisy,42
1686,1687,13,9,data\splits\pilot_100id\images\13\1687.png,high,1686,original,61,noisy,42
1688,1689,13,9,data\splits\pilot_100id\images\13\1689.png,high,1688,original,82,noisy,42
1743,1744,13,9,data\splits\pilot_100id\images\13\1744.png,high,1743,original,59,noisy,42
1706,1707,13,9,data\splits\pilot_100id\images\13\1707.png,high,1706,original,22,noisy,42
1957,1958,14,10,data\splits\pilot_100id\images\14\1958.png,high,1957,original,29,noisy,42
1839,1840,14,10,data\splits\pilot_100id\images\14\1840.png,high,1839,original,15,noisy,42
2108,2109,14,10,data\splits\pilot_100id\images\14\2109.png,high,2108,original,65,noisy,42
